seed,avg_waiting_time,avg_queue_length,max_queue_length,avg_speed,total_arrived,phase_changes,avg_ped_waiting,total_co2,total_nox,total_pmx,total_fuel,total_collisions,total_teleports,total_reward,action_0_pct,action_1_pct
0,5.766009864938799,18.380902777777777,115.0,5.542528063972179,1627,263,2.035277777777778,223330779.32494903,79246.5207716307,10066.998641625361,72401257.41187984,3,1,-6.503943,0.6158333333333333,0.38416666666666666
5,3.622774121003285,9.190972222222221,70.0,7.596132737772296,1615,292,1.576111111111111,165887606.6861037,57580.79946978776,10093.130445648865,53778651.43747695,4,1,-2.3866215,0.5088888888888888,0.4911111111111111
10,5.528754801540698,15.189583333333333,100.0,6.09401990672959,1621,264,2.1955555555555555,202998771.308425,71604.58067861309,10097.957402568763,65809789.629435234,8,6,-8.212142,0.6122222222222222,0.3877777777777778
15,3.2769739373413453,9.056944444444444,65.0,7.527910110861283,1622,298,1.518888888888889,165963409.91003245,57541.67205823927,10115.750866522361,53803221.69425736,6,3,-0.18356685,0.5169444444444444,0.48305555555555557
20,4.695705797744693,14.244444444444444,105.0,6.511514201268705,1623,287,1.785,196993263.32627645,69306.17803252822,10101.482579318865,63862847.90697378,9,5,-0.16600937,0.5372222222222223,0.4627777777777778
25,5.634257026361006,17.511111111111113,130.0,5.748806365928788,1615,236,2.0269444444444447,219422123.25087595,77736.39140177291,10098.677380444216,71134095.67668661,12,4,-14.485399,0.7005555555555556,0.29944444444444446
30,4.32910953916531,13.131597222222222,125.0,6.568700400332132,1628,268,1.7177777777777778,192345333.1058358,67567.47895658131,10092.403370739637,62356029.92940347,13,3,-3.888089,0.6152777777777778,0.38472222222222224
35,5.397151596993428,14.823611111111111,125.0,6.498801336420996,1625,271,2.3141666666666665,200141191.04310668,70533.48719290056,10085.039136339936,64883392.01205726,9,5,-16.669977,0.5275,0.4725
40,4.242213363552727,11.795486111111112,90.0,7.079125002596109,1624,288,1.8380555555555556,181862464.10199487,63544.03982085349,10080.67372944128,58957562.741465,4,2,-4.063188,0.5080555555555556,0.49194444444444446
45,4.647361778016483,12.775694444444444,80.0,6.639345618008556,1620,263,1.988611111111111,187695278.7186819,65784.26014258381,10082.164848506467,60848519.32002388,5,4,-1.2292387,0.6316666666666667,0.36833333333333335
50,3.2880390637392836,8.836458333333333,75.0,7.616345526894834,1628,295,1.5575,163968081.91660988,56849.29972019039,10083.700417010106,53156356.22607571,2,1,-0.45457417,0.5180555555555556,0.48194444444444445
55,4.590128005574216,13.353472222222223,90.0,6.563436482621216,1627,271,2.058333333333333,193595716.0270679,67931.7526800681,10065.779468020592,62761377.35455482,14,1,-3.7081866,0.5811111111111111,0.41888888888888887
60,3.6081400223234867,9.696180555555555,85.0,7.503567817952732,1616,288,1.6411111111111112,169561576.54702526,58927.24970146276,10099.576834157364,54969720.67159657,9,3,-0.47931385,0.5258333333333334,0.4741666666666667
65,4.320860773529454,11.078819444444445,75.0,7.020826788156007,1624,283,1.8291666666666666,177531772.3567511,61968.69358436921,10074.798467689589,57553591.219090596,15,7,-2.1701088,0.5511111111111111,0.4488888888888889
70,6.0092436252011066,18.058333333333334,120.0,5.610240698710404,1619,255,1.9366666666666668,220648304.8239948,78263.45518073835,10057.451093075224,71531623.93799222,6,4,-5.644351,0.6697222222222222,0.3302777777777778
75,5.245400224588191,14.902777777777779,150.0,6.62809749789674,1582,266,2.0069444444444446,199633864.41832757,70577.33825362689,10031.288461965136,64718944.30317126,7,2,-22.353697,0.6125,0.3875
80,5.396890882149072,15.169444444444444,105.0,6.282849019616117,1597,255,2.248611111111111,201475109.972665,71157.84026398516,10065.841772507534,65315843.10826613,10,1,-5.1763425,0.6397222222222222,0.36027777777777775
85,4.503735240067281,12.512152777777779,85.0,6.660270734498041,1626,276,1.9313888888888888,187156306.35663116,65503.32745673811,10091.440940163327,60673777.31705794,5,1,-0.52616435,0.5672222222222222,0.43277777777777776
90,4.632333419795931,13.046875,105.0,6.6642743289280135,1608,279,1.7919444444444443,189160636.3969044,66364.2677909346,10041.013272530916,61323579.02739547,9,2,-1.7149591,0.5291666666666667,0.4708333333333333
95,4.395799588454449,12.265277777777778,85.0,6.811720408072476,1628,275,1.755,185143196.69637865,64780.827111159015,10103.325556168156,60021142.81025356,7,3,-0.19489643,0.5963888888888889,0.4036111111111111
