seed,avg_waiting_time,avg_queue_length,max_queue_length,avg_speed,total_arrived,phase_changes,avg_ped_waiting,total_co2,total_nox,total_pmx,total_fuel,total_collisions,total_teleports,total_reward,action_0_pct,action_1_pct
0,4.028106403543976,11.645486111111111,80.0,6.815105355518149,1616,292,1.6669444444444443,182429631.8399019,63790.88928917849,10080.03719231579,59141435.93175815,17,2,-0.20644566,0.5127777777777778,0.4872222222222222
5,5.428269149801951,14.357986111111112,85.0,6.078592598581513,1613,279,1.7633333333333334,198829799.5951624,70026.82443677424,10082.610341988628,64458239.32554634,4,4,-3.3258839,0.5583333333333333,0.44166666666666665
10,3.5136320316167087,9.640625,75.0,7.291326615300618,1618,307,1.5844444444444445,169462118.6183142,58878.47041626881,10069.148333997642,54937474.86262028,11,2,-0.4574834,0.4786111111111111,0.5213888888888889
15,4.115028458583959,11.527777777777779,80.0,6.921543036459084,1612,295,1.5147222222222223,180318509.82733336,63022.09211669188,10075.853054311901,58457032.737228885,4,3,-0.12173289,0.5230555555555556,0.47694444444444445
20,3.5135008357171005,9.778819444444444,95.0,7.321503592132604,1608,308,1.5641666666666667,169989334.73362792,59117.1299295865,10036.066442732887,55108398.75989002,3,1,-0.71902114,0.47444444444444445,0.5255555555555556
25,5.705448694546558,18.841666666666665,165.0,5.492574016345456,1604,288,1.4008333333333334,230497235.8124197,82033.92213553756,10017.85620145624,74724575.3965975,1,1,-20.559477,0.49777777777777776,0.5022222222222222
30,3.8312105176780857,9.990972222222222,75.0,7.270084608618246,1627,300,1.4197222222222223,171161034.11928004,59494.45659109191,10065.089546218069,55488245.012334876,3,3,-0.7050266,0.5108333333333334,0.4891666666666667
35,3.0307307713313234,8.303472222222222,55.0,7.706172405949843,1628,308,1.5975,161162019.81431794,55702.16319500214,10088.377483541894,52246649.13992072,4,1,-0.054890126,0.4697222222222222,0.5302777777777777
40,6.949468115935766,25.696180555555557,185.0,4.581148373513008,1591,287,1.731111111111111,270995739.9841324,97827.48380887498,9954.89837496142,87853918.50553545,6,5,-46.043556,0.4702777777777778,0.5297222222222222
45,3.141244081584262,8.689930555555556,75.0,7.666483665692132,1621,312,1.3927777777777777,163386156.62481576,56617.45773714104,10086.821954101993,52967701.475838885,4,0,-0.11802572,0.49972222222222223,0.5002777777777778
50,3.38301761582735,9.141666666666667,70.0,7.566054893522916,1625,315,1.4255555555555555,166251847.34346187,57692.191428809754,10080.859643498,53896730.22486984,7,5,-1.0617468,0.44472222222222224,0.5552777777777778
55,3.747953415268982,10.666666666666666,125.0,7.320336322481597,1594,311,1.3936111111111111,174280805.92945758,60791.51847579772,10053.271119233561,56499663.39751622,5,0,-0.67958695,0.46805555555555556,0.5319444444444444
60,3.5907985511095566,10.391666666666667,105.0,7.177614740075392,1617,299,1.4813888888888889,174559308.08117998,60817.25842548162,10117.328746919156,56589946.01671895,2,2,-0.7924943,0.5241666666666667,0.47583333333333333
65,4.239718279483792,11.259722222222223,75.0,6.966546574332876,1627,283,1.6455555555555557,178906938.8503772,62441.12268420678,10081.851623400351,57999404.30346504,0,0,-0.08977187,0.6080555555555556,0.39194444444444443
70,3.561007801018001,9.80486111111111,65.0,7.266566577098792,1621,296,1.6458333333333333,170655424.47497308,59323.6538500592,10095.421636684989,55324337.88154127,7,4,-0.15195931,0.5269444444444444,0.47305555555555556
75,5.674922786231014,15.137847222222222,135.0,6.154658387969889,1597,264,1.5919444444444444,200026297.0117657,70565.76156775713,10054.372288774282,64846149.76142372,7,4,-5.960941,0.63,0.37
80,3.1610297858782936,8.130208333333334,65.0,7.823110871540269,1621,312,1.4933333333333334,159774894.85338163,55254.963999443244,10089.72896825934,51796955.96815598,6,0,-1.1793678,0.4697222222222222,0.5302777777777777
85,3.9178508896893325,10.470833333333333,105.0,7.188950186312799,1622,292,1.6680555555555556,174005535.39943153,60623.555735856295,10117.496529465832,56410414.813639075,4,1,-0.54013705,0.5580555555555555,0.4419444444444444
90,5.030964042142607,14.985416666666667,115.0,6.198486701015885,1612,283,1.5080555555555555,201927197.89992434,71214.28854940581,10077.874101848061,65462393.022523694,4,2,-3.570508,0.5511111111111111,0.4488888888888889
95,6.738535185606985,22.252777777777776,140.0,5.173529286713931,1608,247,1.8541666666666667,247821062.05844223,88575.83608113698,10068.103601875646,80340807.81809144,4,2,-8.014656,0.6808333333333333,0.31916666666666665
