seed,avg_waiting_time,avg_queue_length,max_queue_length,avg_speed,total_arrived,phase_changes,avg_ped_waiting,total_co2,total_nox,total_pmx,total_fuel,total_collisions,total_teleports
0,7.344488504127674,17.084375,115.0,5.540506712123204,1609,194,2.1405555555555558,213917161.4250344,75748.8966755977,10109.277160134945,69349449.3066557,9,4
5,8.487776959704178,20.134722222222223,130.0,5.207147424189864,1596,194,2.1927777777777777,229328862.9325115,81810.13537060376,10079.565971745174,74345820.40106165,1,0
10,10.084199063768953,27.500694444444445,190.0,4.390705768415579,1561,194,2.039722222222222,266077930.78129905,96604.18706962751,9735.189465000694,86259683.07525386,6,3
15,9.596094455350572,28.526041666666668,190.0,3.928716282230165,1585,194,2.062777777777778,280836104.2721228,101795.23567030401,9850.02651763698,91044121.83781682,0,0
20,10.272757755316496,31.2875,190.0,3.7200136912762507,1577,194,1.9388888888888889,292437187.8037288,106713.64433882092,9839.425486293367,94805159.98735945,0,0
25,9.274531304393149,27.932986111111113,190.0,4.291281532432473,1559,194,2.096388888888889,274133257.8363987,99368.40026747998,9779.887227982214,88871116.91933498,3,5
30,6.862110937952489,14.705555555555556,105.0,6.037367504650099,1615,194,2.171666666666667,198657500.24136776,69962.00756611575,10122.664002245798,64402388.049961016,11,3
35,8.789716544705875,27.820138888888888,190.0,4.338217399970476,1578,194,2.2330555555555556,275201444.8043698,99915.41479408238,9815.380639092873,89217436.81615058,10,0
40,7.499223700540958,17.532291666666666,185.0,5.65613116128705,1593,194,2.089722222222222,213725029.57564694,75825.8060736265,10029.27859994717,69287180.33468878,8,2
45,9.51412684231802,24.466666666666665,190.0,4.630834864366621,1602,194,2.0925,255816478.74806088,92033.26054477034,10050.642398598853,82932920.90895477,1,1
50,8.178124207471567,18.35,130.0,5.339318982811582,1598,194,2.2394444444444446,220312651.27702746,78299.37093777614,10087.619971729335,71422828.2125586,5,1
55,9.865441196359109,26.268402777777776,190.0,4.307805698636701,1575,194,2.106388888888889,263614836.22234565,95307.43075096064,9896.211370312654,85461124.2515719,0,1
60,7.315721405467353,18.01527777777778,175.0,5.489337416906039,1594,194,2.0008333333333335,217517380.78714103,77385.31964190771,9988.671723141264,70516643.66161534,3,3
65,9.71727107806111,30.255208333333332,190.0,3.961188910672413,1566,194,1.8730555555555555,284714783.6391994,103847.08489720745,9801.07507552976,92301622.19147238,4,0
70,8.671744588824838,23.734375,190.0,4.631741673621027,1579,194,2.1444444444444444,250892128.47452578,90360.85659690964,9910.36344703558,81336506.74579097,3,1
75,8.674480480455147,24.160416666666666,190.0,4.77028198034193,1593,194,2.1633333333333336,252839500.85479093,91029.53675718252,9960.680906391923,81967823.74039567,10,0
80,10.2504128687825,29.830902777777776,190.0,4.2813834975074405,1572,194,1.8880555555555556,279840805.25721633,101866.54448964534,9800.702809828079,90721505.79821959,6,5
85,10.080857391676005,29.46388888888889,190.0,3.8871187138797616,1563,194,2.068611111111111,281999266.45026505,102602.18012683153,9756.41069402255,91421253.68152958,4,0
90,8.021309334703396,23.415972222222223,190.0,4.856600838331567,1588,194,2.0280555555555555,251200504.54091397,90272.6195290261,9935.012308474797,81436460.21596277,5,2
95,9.006330708014959,25.494444444444444,185.0,4.431074756040738,1565,194,2.0861111111111112,261890387.51984665,94631.98757780547,9875.09592154406,84902065.32566206,7,4
