seed,avg_waiting_time,avg_queue_length,max_queue_length,avg_speed,total_arrived,phase_changes,avg_ped_waiting,total_co2,total_nox,total_pmx,total_fuel,total_collisions,total_teleports
0,5.549675183752229,13.637847222222222,100.0,6.30213267688461,1616,256,1.6797222222222221,192852647.61656952,67805.87317922636,10119.656483081606,62520506.190699354,6,3
5,5.70643503889346,14.747916666666667,165.0,6.259153637247351,1603,256,1.676388888888889,200134753.77651238,70669.98366042017,10051.664201927133,64881316.0389683,10,3
10,4.514985145675508,10.665277777777778,80.0,6.99444969242074,1617,256,1.5205555555555557,175193927.74116483,61041.47701478843,10114.615066672559,56795677.81764816,1,0
15,4.417870862055324,10.882291666666667,80.0,6.9940850553163845,1622,256,1.5030555555555556,176330695.84791344,61466.38203586793,10121.336402895598,57164214.89621831,4,2
20,5.019920180628144,15.581597222222221,135.0,5.780521186968579,1604,256,1.7266666666666666,208754440.83066624,73834.98135327049,10073.720511827272,67675739.5713022,1,1
25,7.503860710168871,26.36423611111111,190.0,4.317255240973161,1585,256,1.6697222222222223,273714469.0619499,99171.64796461075,9859.426017727863,88735345.35030803,12,3
30,4.214968718086389,11.63888888888889,85.0,6.688892765711531,1615,256,1.5252777777777777,182336136.7847456,63753.23970443092,10114.623045294802,59111127.815223366,4,0
35,5.022382287795464,12.552430555555556,125.0,6.67703646956981,1619,256,1.5827777777777778,186883444.17098054,65461.315897189445,10095.520405540643,60585326.60958663,9,4
40,5.870254298199507,18.100347222222222,135.0,5.288899216196035,1591,256,2.0005555555555556,222510515.87305045,79141.8399174336,9990.955969944962,72135357.1187685,6,4
45,5.673771568941861,17.04548611111111,190.0,5.751163631265392,1615,256,1.6647222222222222,216126181.71745923,76744.26643210906,10070.834987194314,70065615.27007659,1,0
50,3.6962808980673767,9.307638888888889,70.0,7.363479970326183,1621,256,1.6836111111111112,167189216.8947891,57986.9377871934,10087.10054991608,54200612.73180417,6,0
55,5.085970810132984,13.294444444444444,110.0,6.244982810970032,1613,256,1.5458333333333334,192458543.92201442,67608.34849068246,10090.185922457986,62392731.75927559,3,1
60,5.256702208105926,13.989930555555556,105.0,6.187455703028124,1616,256,1.9925,196479086.99055845,69139.01284964808,10074.777904830342,63696164.30416748,10,5
65,5.2881402042847085,13.99375,115.0,6.0962410338095125,1609,256,1.5397222222222222,196898097.00612807,69269.85811827265,10077.601085417718,63831995.9460217,2,0
70,8.711560117011539,27.294791666666665,190.0,4.225267950571899,1587,256,1.9252777777777779,276760026.200976,100134.89439229706,9937.575130560816,89722666.14187585,16,19
75,5.2753828106160165,14.673958333333333,125.0,5.964557523359921,1616,256,1.4533333333333334,202197107.19516826,71319.55741947926,10094.83942627339,65549899.1739633,5,2
80,5.088196878574438,14.436111111111112,115.0,6.088963961191047,1611,256,1.8352777777777778,199768700.25028977,70387.08735514688,10051.770902906816,64762631.482751325,8,1
85,4.789589775545894,14.041319444444444,140.0,6.153710508054186,1594,256,1.6058333333333332,197088767.86779138,69443.11872596771,10049.114875592459,63893826.08562847,4,0
90,6.921310546335322,22.706944444444446,190.0,4.778393139920756,1602,256,1.8044444444444445,252305213.65466627,90645.37256744654,9981.444964565093,81794587.03259596,9,1
95,4.835130092382606,13.497569444444444,115.0,6.298935896594111,1620,256,1.668611111111111,193872045.0919398,68131.58980113576,10081.393943669136,62850979.09550433,3,2
