#{"t_start": 1781429833.2018564, "env_id": "None"}
r,l,t
-10431.859754,3600,19.371147
-8589.861325,3600,38.56481
-9298.613316,3600,60.455779
-9497.75479,3600,84.829404
-10166.046514,3600,108.612637
-9847.355444,3600,131.099275
-12336.668496,3600,153.548488
-9659.105315,3600,176.519887
-9930.649507,3600,201.770398
-8944.842904,3600,224.254882
-9204.904224,3600,248.271731
-9244.664752,3600,271.96618
-12572.459015,3600,295.655842
-9103.190697,3600,319.836139
-10558.263989,3600,344.254161
-10404.353877,3600,368.064816
-10045.030777,3600,392.824115
-9002.932056,3600,418.120137
-10125.863427,3600,441.162923
-13529.104892,3600,464.2189
-9726.199266,3600,486.472737
-12247.110459,3600,509.967105
-11162.118394,3600,534.237358
-8686.454098,3600,556.697904
-11959.478587,3600,579.72851
-10611.399969,3600,601.753196
-13632.869901,3600,624.290048
-10648.032081,3600,646.451277
-11219.171447,3600,669.183392
-11764.332273,3600,693.087285
-11207.82798,3600,716.863448
-9863.400364,3600,740.873334
-11606.612141,3600,765.670356
-10109.687712,3600,789.203932
-10332.522619,3600,813.815572
-9409.703197,3600,837.008183
-9118.160795,3600,861.189704
-10023.829063,3600,884.372584
-9627.6387,3600,908.247875
-9961.178979,3600,932.216808
-11138.027222,3600,956.385734
-9290.730235,3600,980.320594
-10523.170322,3600,1003.224567
-11864.687179,3600,1025.921773
-9765.050468,3600,1049.162456
-8978.649094,3600,1071.425292
-9896.348279,3600,1093.68749
-9246.336095,3600,1117.274251
-9279.862974,3600,1141.744453
-10243.935314,3600,1166.588066
-10600.977825,3600,1190.48074
-9644.549451,3600,1216.246729
-12539.942813,3600,1241.673526
-10537.834052,3600,1265.501958
-8735.843274,3600,1290.599841
-11691.801193,3600,1313.151269
-11147.337307,3600,1339.268227
-11455.68738,3600,1365.317973
-9701.069472,3600,1389.077448
