#{"t_start": 1780129053.6690998, "env_id": "None"}
r,l,t
-5524.357349,3600,19.591998
-6125.253791,3600,38.039156
-1106.523928,3600,65.826614
-5803.868795,3600,89.150675
-4642.531276,3600,108.69158
-3448.19938,3600,128.357456
-5650.322526,3600,148.048326
-4803.29551,3600,167.154544
-5843.76583,3600,188.717601
-4602.954547,3600,207.33542
-4115.239517,3600,227.302258
-4680.824997,3600,249.08849
-3454.118594,3600,269.385589
-4676.687462,3600,287.899913
-3951.39047,3600,305.509037
-3666.477882,3600,324.809577
-224.503211,3600,343.753428
-496.050608,3600,363.304703
-583.679335,3600,382.695554
-857.355368,3600,401.365628
-5137.76872,3600,419.619287
-825.51271,3600,438.910108
-1838.701103,3600,458.044625
-1156.7006,3600,476.566344
-3254.66928,3600,495.443512
-105.327288,3600,513.161274
-417.570187,3600,531.030871
-1035.007526,3600,549.934795
-621.949098,3600,568.602569
-3237.203836,3600,587.458685
-83.635516,3600,606.769297
-933.484845,3600,625.646776
-270.286763,3600,643.906456
-40.625758,3600,662.563133
-2551.119445,3600,680.87323
-601.096243,3600,699.237313
-403.874932,3600,718.210819
-74.890408,3600,736.927508
-69.952529,3600,755.390228
-1072.682746,3600,774.675329
-3.142518,3600,794.163662
-606.171572,3600,812.767481
-74.959841,3600,831.186566
-23.225077,3600,849.506438
-453.93192,3600,867.588111
-358.607728,3600,886.012423
-62.469904,3600,905.603518
32.103275,3600,924.176002
-36.199147,3600,942.870753
-3116.209344,3600,961.91952
-76.208059,3600,980.394377
-203.766188,3600,998.97373
-16.965161,3600,1017.309044
-612.226528,3600,1035.57726
-111.517285,3600,1053.838361
-431.353022,3600,1072.36286
-294.799456,3600,1091.993445
-242.23063,3600,1112.504288
1.444392,3600,1132.523202
-98.279989,3600,1151.181657
5.954514,3600,1169.235252
-447.34102,3600,1188.628462
-97.058027,3600,1207.751654
-10.523052,3600,1225.513329
-130.937368,3600,1243.280838
28.453109,3600,1262.824394
-330.057348,3600,1281.299203
-228.805301,3600,1300.515571
-10.020602,3600,1319.895468
-89.015382,3600,1338.120106
-399.21184,3600,1356.631709
-465.675944,3600,1374.544433
29.016279,3600,1392.112629
-204.824153,3600,1410.903006
38.741083,3600,1429.237697
18.682203,3600,1447.568848
-19.481731,3600,1465.497467
-131.845326,3600,1484.972208
-44.67475,3600,1505.229565
-1155.718931,3600,1523.875239
-24.203143,3600,1541.658596
22.775218,3600,1560.280044
-58.932202,3600,1581.483024
7.975296,3600,1600.508133
18.502277,3600,1618.850624
18.73128,3600,1637.465241
-12.06158,3600,1656.665698
-733.293342,3600,1675.236649
8.269198,3600,1694.0231
23.888075,3600,1713.912029
-182.953536,3600,1733.678209
19.341985,3600,1752.019402
-142.386895,3600,1772.040176
-11.884044,3600,1791.708642
-420.41702,3600,1811.135122
27.239884,3600,1829.081702
24.642125,3600,1846.90036
17.193179,3600,1866.399957
17.265173,3600,1883.866351
5.056674,3600,1902.475199
14.797667,3600,1920.442463
35.149639,3600,1938.087649
8.239341,3600,1956.966844
-525.000787,3600,1975.597527
-3.554584,3600,1994.402806
-724.155284,3600,2013.202996
-0.071954,3600,2031.706487
29.853814,3600,2050.316094
-10.675302,3600,2068.497592
-2.926326,3600,2086.355193
-58.339101,3600,2104.81437
8.334592,3600,2123.029682
-162.333308,3600,2142.225199
5.895087,3600,2160.724101
-36.341761,3600,2179.983244
26.736522,3600,2199.206392
-38.631992,3600,2216.925519
15.53802,3600,2234.77533
-160.305984,3600,2253.281215
-16.23316,3600,2271.885239
-48.218451,3600,2290.545947
-25.132655,3600,2308.7888
-665.160318,3600,2329.346673
-76.950372,3600,2350.687561
13.654298,3600,2370.605883
25.653434,3600,2390.99002
-365.426128,3600,2410.730729
-14.765497,3600,2429.952771
-145.059161,3600,2449.842287
-55.276642,3600,2470.432305
-268.941423,3600,2488.594435
26.1694,3600,2506.467842
-4.082822,3600,2525.629588
19.281133,3600,2543.766584
-571.0872,3600,2562.726175
28.405984,3600,2581.550482
1.823233,3600,2600.606967
6.817384,3600,2619.646516
10.928153,3600,2638.337198
-12.753494,3600,2656.705333
21.85862,3600,2674.971601
2.982661,3600,2694.042642
-267.731826,3600,2712.959594
-56.78599,3600,2731.213865
27.443965,3600,2749.271218
45.13418,3600,2768.098011
-22.953335,3600,2786.842993
32.115559,3600,2806.20442
-13.534234,3600,2825.12589
-8.215235,3600,2843.440791
-2.249299,3600,2860.823779
-351.245518,3600,2879.696925
-87.684034,3600,2897.370815
23.800445,3600,2914.849996
55.033632,3600,2932.930986
-18.673374,3600,2951.040648
1.720845,3600,2969.672283
14.941284,3600,2988.600007
0.263614,3600,3006.48413
54.29561,3600,3024.781255
-54.244539,3600,3043.3816
20.343365,3600,3062.500095
16.426766,3600,3081.115692
22.184182,3600,3099.207095
-212.688286,3600,3117.54881
-7.803111,3600,3135.498744
-66.352903,3600,3153.643425
-1987.268235,3600,3172.356192
-24.536552,3600,3190.398947
-1789.571488,3600,3209.04987
22.560692,3600,3226.814644
-15.2328,3600,3244.991196
-4.162193,3600,3264.75637
-36.801783,3600,3283.304996
-772.513707,3600,3301.877246
-205.535779,3600,3321.015559
-51.785096,3600,3340.163761
-634.070158,3600,3358.51934
-143.353288,3600,3377.217124
-574.582345,3600,3397.395802
17.65419,3600,3416.300288
-127.157562,3600,3434.4972
-253.506388,3600,3453.004718
-248.755628,3600,3471.016714
-93.929149,3600,3489.744582
18.752848,3600,3508.751103
-11.52656,3600,3526.908266
14.862756,3600,3545.695912
