#{"t_start": 1780217897.5825589, "env_id": "None"}
r,l,t
-4743.789244,3600,13.119739
-5286.41291,3600,25.351774
-4305.566362,3600,37.804419
-5399.93646,3600,50.460777
-4816.970301,3600,65.070971
-7717.198196,3600,78.691316
-5433.664897,3600,91.936451
-4236.274745,3600,105.091436
-5422.006595,3600,118.824435
-3826.078467,3600,132.210131
-6163.555041,3600,145.725889
-5876.65175,3600,159.239043
-5228.673708,3600,172.923267
-6314.255652,3600,186.568197
-4499.134912,3600,200.173391
-6979.005529,3600,213.890971
-5882.700279,3600,227.414357
-3506.745888,3600,240.991279
-6312.518099,3600,254.632094
-7525.149782,3600,268.169719
-5239.608964,3600,281.696422
-5147.575354,3600,295.655922
-2774.95841,3600,308.62474
-4102.799416,3600,321.41471
-1966.423685,3600,334.219181
-2836.137584,3600,347.01437
-778.373578,3600,359.695657
-4445.46308,3600,372.421296
-2324.087121,3600,385.133834
-1408.591451,3600,397.875654
-3939.022091,3600,410.894794
-554.509609,3600,424.087981
-451.514505,3600,437.145444
-411.872613,3600,449.856319
-12.339995,3600,462.603811
-1675.856243,3600,475.193248
-609.930654,3600,488.079232
-250.810858,3600,500.785457
-21.372357,3600,513.423298
-63.751187,3600,526.25103
-184.183227,3600,539.021206
-339.655195,3600,551.747499
-955.146716,3600,564.392996
-80.737996,3600,577.013027
-134.998656,3600,589.707801
-705.243871,3600,602.429879
-178.696918,3600,615.055009
-469.226513,3600,627.576093
-56.364141,3600,640.075138
-492.386364,3600,652.894734
-474.234514,3600,665.55483
-215.383723,3600,678.16806
-416.197578,3600,690.830009
-526.118706,3600,703.858248
-46.52657,3600,716.827788
-2.520041,3600,729.694545
-211.89313,3600,742.267612
-351.818399,3600,754.821845
-133.40814,3600,767.577635
-4.355935,3600,780.174634
-139.454912,3600,792.850012
-52.147457,3600,805.536841
-176.902521,3600,818.239201
-123.40871,3600,830.864966
-13.903793,3600,843.503873
-56.369781,3600,856.160673
-60.408905,3600,868.973322
-69.892141,3600,881.506347
-17.618871,3600,894.186908
-558.587382,3600,907.05772
-51.209115,3600,919.738336
-31.089121,3600,932.392479
-4.254171,3600,945.109613
-670.595119,3600,957.79763
-165.656675,3600,970.620684
-15.61625,3600,983.196569
-182.345583,3600,995.965237
-239.206305,3600,1008.495808
-32.363817,3600,1021.250963
-32.445899,3600,1033.714297
-65.128617,3600,1046.433383
-96.716139,3600,1058.991243
-45.580064,3600,1071.682901
-225.165337,3600,1084.531733
-57.990606,3600,1097.419056
-216.670648,3600,1110.110805
-17.678088,3600,1122.90484
-80.941019,3600,1135.58243
-49.738333,3600,1148.061934
-136.489099,3600,1160.898161
-23.975867,3600,1173.542479
-7.51935,3600,1186.197853
-0.424373,3600,1198.90834
-63.270217,3600,1211.842647
-227.495047,3600,1224.895412
-235.750593,3600,1237.443211
-26.656678,3600,1249.87992
-19.338206,3600,1262.336989
-435.036701,3600,1275.080404
-325.69995,3600,1287.746209
-47.526878,3600,1300.463238
-63.469906,3600,1313.078895
-103.469318,3600,1325.84135
-483.948586,3600,1338.802934
-14.561301,3600,1351.51091
-4.134159,3600,1364.236021
-68.803949,3600,1376.945398
-328.688234,3600,1389.848329
-24.931745,3600,1402.382218
-91.341411,3600,1415.165092
-51.09418,3600,1427.710875
-531.010218,3600,1440.200336
-34.384158,3600,1452.768509
-422.695708,3600,1465.366027
-39.717942,3600,1478.084821
-290.236784,3600,1491.315297
-319.463516,3600,1504.127204
-167.825871,3600,1516.69365
-140.392147,3600,1529.320774
-807.025971,3600,1542.261341
-93.076266,3600,1554.972167
-167.759145,3600,1567.680447
-11.979717,3600,1580.826773
-122.233603,3600,1593.59588
-453.527396,3600,1606.728259
-232.556393,3600,1619.493058
-157.504692,3600,1632.283492
-66.960595,3600,1644.91778
-24.468853,3600,1657.662192
-29.374215,3600,1670.240154
-39.303516,3600,1683.031866
-11.024033,3600,1695.489824
-19.491192,3600,1708.447466
-44.246414,3600,1721.202568
-889.32781,3600,1733.943064
-312.251782,3600,1746.649346
1.040389,3600,1759.47251
-55.15745,3600,1772.349527
-42.542491,3600,1784.927585
-507.26154,3600,1797.620944
-164.524166,3600,1810.547305
-779.717621,3600,1823.267907
-144.408419,3600,1835.894171
-41.361749,3600,1848.793761
-410.876312,3600,1861.637968
-116.486411,3600,1874.291109
-4.960948,3600,1886.879505
-78.811931,3600,1902.256801
-72.5375,3600,1917.129784
-27.759404,3600,1933.893394
-0.814137,3600,1947.943212
-661.574037,3600,1964.683834
-280.924196,3600,1982.150665
-103.335865,3600,1997.087557
-2.98851,3600,2012.295625
-64.791088,3600,2026.886172
-50.254636,3600,2041.990364
-49.737537,3600,2056.725705
-29.719382,3600,2071.177762
-4.131057,3600,2086.076919
-53.907372,3600,2100.936747
-3.066678,3600,2116.101344
-443.661365,3600,2130.930423
-1.725579,3600,2145.548101
-51.465561,3600,2159.800793
-2.57285,3600,2174.453948
-74.837944,3600,2189.865903
-302.74686,3600,2206.042879
-22.018694,3600,2221.881662
-800.742734,3600,2237.574834
-18.825243,3600,2252.309189
-0.257458,3600,2268.316688
-39.940719,3600,2284.373717
-2.081156,3600,2300.897234
-76.697931,3600,2315.951126
-3.919229,3600,2332.652712
-6.157589,3600,2346.766155
-4.707643,3600,2361.736779
-32.5995,3600,2377.18814
-4.516481,3600,2392.443514
-29.13381,3600,2407.569377
-2.513865,3600,2422.656208
-29.331386,3600,2437.432606
-65.209409,3600,2451.470576
-24.282777,3600,2465.596587
-5.481505,3600,2479.35646
-28.747474,3600,2495.487011
-3.780902,3600,2511.897676
-142.58985,3600,2526.537231
-55.29553,3600,2541.738346
-35.748103,3600,2557.244428
-36.248194,3600,2573.05872
-89.360603,3600,2588.780968
-153.854314,3600,2603.725194
-17.939473,3600,2617.915981
-91.138681,3600,2631.558993
-23.830647,3600,2645.447271
-4.652012,3600,2659.202482
-22.615906,3600,2674.620406
-3.410522,3600,2690.266685
-17.534955,3600,2706.654351
-21.035754,3600,2721.080251
-18.130966,3600,2734.860059
-14.442522,3600,2749.469416
-179.48162,3600,2764.828708
-20.872556,3600,2780.775005
-469.563745,3600,2795.463997
-223.059867,3600,2810.523698
-71.254463,3600,2825.23281
-46.532484,3600,2838.757523
-40.013337,3600,2851.967335
-542.492648,3600,2865.530839
-7.637372,3600,2879.578374
-78.393978,3600,2893.683983
-572.915501,3600,2908.104033
-55.507276,3600,2923.241252
-158.04829,3600,2936.715858
-269.254558,3600,2950.416291
-32.403692,3600,2963.215042
-563.120704,3600,2976.235957
2.81802,3600,2989.977007
-109.820039,3600,3002.836162
-198.077989,3600,3016.090904
-865.525424,3600,3030.822082
-1042.667443,3600,3045.921086
-123.9153,3600,3060.260263
-59.621725,3600,3074.584108
-1.995823,3600,3088.546433
-152.912414,3600,3102.543898
-1584.106835,3600,3117.371118
-10.536183,3600,3131.490689
-10.180917,3600,3146.029078
-7.769327,3600,3159.547157
-8.486645,3600,3173.121987
-301.774897,3600,3187.325754
-72.343733,3600,3201.855297
-11.248519,3600,3216.409714
-7.465873,3600,3230.496581
-23.630611,3600,3244.16493
-149.704569,3600,3257.970619
-52.017457,3600,3271.463388
-5.42291,3600,3284.642166
-271.881491,3600,3299.416465
-220.226359,3600,3314.251424
-13.332487,3600,3328.508972
-222.537904,3600,3343.58261
-246.413488,3600,3359.980714
-77.095808,3600,3373.890651
-69.663145,3600,3389.416575
-5.635078,3600,3404.181604
-18.469067,3600,3419.544257
-124.79652,3600,3434.69184
-40.464463,3600,3449.113134
-945.242259,3600,3463.849189
-6.633794,3600,3478.231261
-56.053417,3600,3492.422934
-123.741366,3600,3507.379703
-218.173439,3600,3522.313145
-330.936081,3600,3536.360466
-182.384294,3600,3551.218228
-21.217707,3600,3564.349316
-20.322425,3600,3577.650948
-353.302833,3600,3591.281742
-14.173116,3600,3605.940298
-11.068881,3600,3619.771091
-8.027767,3600,3633.631764
-17.414989,3600,3647.087386
-935.447839,3600,3660.930398
-25.390774,3600,3675.199712
-13.108245,3600,3688.041244
-5.25109,3600,3702.134455
-38.040367,3600,3717.482384
-2571.647772,3600,3732.896529
-90.383428,3600,3747.259967
-18.634718,3600,3762.219938
-284.458113,3600,3775.585547
-92.414218,3600,3789.542464
-90.845728,3600,3804.669306
