#{"t_start": 1780388528.4413064, "env_id": "None"}
r,l,t
-261.258354,3600,35.733779
-6816.99978,3600,47.53782
-191.075372,3600,59.577366
342.651314,3600,71.320867
-4519.580532,3600,83.347353
-6202.953542,3600,95.503723
78.986902,3600,107.532192
-2689.070732,3600,119.317316
35.884815,3600,131.047938
-6275.840147,3600,143.12877
-779.993299,3600,155.077319
196.904573,3600,167.320059
-1304.785308,3600,179.92277
539.170457,3600,192.441462
-651.697416,3600,205.017122
-5594.504599,3600,217.619797
-6326.215518,3600,230.147422
-3359.186055,3600,244.228287
-3443.167438,3600,266.355152
-116.699595,3600,285.763826
-1141.019334,3600,303.092592
77.485252,3600,317.593493
-41.204014,3600,332.036663
-861.114776,3600,346.465684
-514.349833,3600,361.080665
-589.182165,3600,375.381129
-1927.669433,3600,389.766862
-190.913677,3600,404.119103
183.505511,3600,418.490402
-3229.889833,3600,432.831295
-516.899642,3600,447.139709
-172.962526,3600,461.52738
-658.339391,3600,475.780388
-2380.304812,3600,490.20625
56.599318,3600,507.008046
-840.988677,3600,521.718219
93.530805,3600,535.913903
-2533.964032,3600,550.935408
-26.837909,3600,565.570394
-6880.543533,3600,580.430992
171.597871,3600,594.872544
678.188061,3600,609.149134
-97.469003,3600,623.561029
-8000.919611,3600,638.128854
-3048.716565,3600,652.614871
-3480.299575,3600,667.158841
-9419.082999,3600,682.188694
-7030.495062,3600,698.009182
-1147.945329,3600,714.27087
-3936.668085,3600,727.466767
320.054328,3600,741.634922
-95.794674,3600,762.649561
-457.649416,3600,779.364991
102.847528,3600,793.994733
-1617.815557,3600,809.580693
-858.820158,3600,822.593584
46.697279,3600,834.9955
-993.397476,3600,847.533101
-1660.393937,3600,860.573048
383.943355,3600,873.027118
-248.77524,3600,885.622883
-2308.029799,3600,898.24212
-1716.714552,3600,910.772049
238.365806,3600,923.261763
349.715239,3600,935.789493
-3293.198037,3600,948.232883
876.817896,3600,960.839168
134.885993,3600,973.243993
-66.855049,3600,985.88505
490.919088,3600,998.442415
-1831.874523,3600,1011.151116
372.7571,3600,1023.732693
750.316297,3600,1036.573962
-843.590252,3600,1049.236017
-242.305469,3600,1061.801859
588.656845,3600,1074.534731
56.502557,3600,1087.27161
-423.14758,3600,1099.788808
349.92788,3600,1112.552851
278.769857,3600,1124.954086
150.391788,3600,1137.978982
825.531622,3600,1150.426204
-5384.604029,3600,1163.259201
253.069383,3600,1175.850256
