#{"t_start": 1781431384.0562732, "env_id": "None"}
r,l,t
-8960.729611,3600,20.926142
-9807.996635,3600,44.30718
-10335.846886,3600,68.095668
-9038.969366,3600,91.418072
-9753.159424,3600,114.137758
-10007.388749,3600,140.319008
-9744.714143,3600,163.47129
-11730.66703,3600,186.555229
-10713.072542,3600,209.782534
-10039.303522,3600,233.384242
-10261.2181,3600,256.373
-10307.575084,3600,280.134833
-12975.861002,3600,303.483503
-8903.249443,3600,327.027769
-10495.815576,3600,350.537446
-9563.206405,3600,374.322508
-10787.865748,3600,397.674844
-8907.14953,3600,420.766117
-10155.198008,3600,443.994793
-8298.197743,3600,467.660028
-9702.212369,3600,490.710652
-9330.000942,3600,513.661589
-10789.993071,3600,537.127175
-8399.573498,3600,560.628079
-11167.635055,3600,585.304344
-10799.92753,3600,610.053366
-10010.339247,3600,634.155076
-11495.630462,3600,660.512516
-8957.281689,3600,686.753295
-10343.137063,3600,711.641994
-11707.308488,3600,736.506795
-9881.966221,3600,761.453543
-12438.772579,3600,787.145643
-9391.04229,3600,813.250378
-9276.69929,3600,837.965819
-9727.206898,3600,860.797877
-11870.286285,3600,882.716152
-11484.87456,3600,904.503053
-10585.094116,3600,926.146672
-10301.585075,3600,949.145502
-10481.900201,3600,972.214759
-11269.100091,3600,996.169647
-12668.479386,3600,1021.375225
-10358.826724,3600,1047.329291
-10855.302916,3600,1072.866658
-9363.168355,3600,1097.882551
-9940.732628,3600,1122.760098
-9916.29451,3600,1146.44019
-10222.600343,3600,1170.019333
-9198.535497,3600,1193.970003
-10428.887645,3600,1217.58431
-10410.946545,3600,1241.186179
-10406.430414,3600,1264.000925
-8287.898457,3600,1287.412353
-9801.169036,3600,1311.291059
-9471.409074,3600,1334.592487
-11430.940833,3600,1358.051449
-12065.115831,3600,1381.239425
-10892.580881,3600,1405.334969
-10773.579903,3600,1430.594833
-10989.131203,3600,1454.304361
-10630.955345,3600,1477.493971
-9395.615065,3600,1501.211586
-8896.442849,3600,1523.898003
-9897.126528,3600,1547.083805
-10279.154892,3600,1569.773864
-9773.042687,3600,1593.962777
-10896.603852,3600,1618.37695
-9942.375221,3600,1643.661014
-12209.481661,3600,1666.623024
-10826.615228,3600,1690.620731
-8738.845986,3600,1714.043355
-9565.544098,3600,1737.435287
-10635.202732,3600,1760.791325
-9560.329747,3600,1784.658576
-8821.045864,3600,1807.875852
-9770.785325,3600,1832.221417
-11127.223501,3600,1856.092221
