#{"t_start": 1781454626.352558, "env_id": "None"}
r,l,t
-8767.490851,3600,30.671334
-10749.49399,3600,58.540991
-10191.94729,3600,88.368525
-9847.211519,3600,118.326295
-8887.671037,3600,148.046017
-10140.534836,3600,176.638419
-10090.298079,3600,204.861128
-11076.153766,3600,232.893901
-8627.341044,3600,261.318176
-10317.752149,3600,291.010936
-9441.184241,3600,320.698752
-11821.777928,3600,351.598855
-11171.274832,3600,382.28696
-8273.097499,3600,411.31114
-9505.419966,3600,440.206699
-10487.591324,3600,468.73599
-9752.589417,3600,497.11469
-10635.751402,3600,525.268335
-11434.331291,3600,553.517833
-10236.997584,3600,582.073649
-8395.305828,3600,610.250649
-10964.443652,3600,639.941963
-10483.725804,3600,670.517779
-10007.285486,3600,700.395905
-9500.035316,3600,731.237334
-8618.754402,3600,760.597608
-10156.419345,3600,789.711216
-9332.864307,3600,819.606876
-9570.219396,3600,849.452388
-9619.258455,3600,879.084217
-12266.859303,3600,909.140828
-9474.878605,3600,939.657405
-10694.142854,3600,969.203238
-11114.802554,3600,999.319846
-10389.498049,3600,1030.26591
-8002.284976,3600,1059.712013
-8140.301984,3600,1089.790484
-12737.557334,3600,1119.984303
-10737.100435,3600,1149.746537
-11981.143165,3600,1180.078913
-9805.469378,3600,1210.280573
-10207.118903,3600,1239.922243
-9862.076625,3600,1270.092477
-8835.76867,3600,1301.706251
-9043.018064,3600,1332.134067
-10708.414045,3600,1362.247028
-10033.224561,3600,1392.144076
-9757.395945,3600,1421.956354
-12040.432949,3600,1452.024441
-12179.056013,3600,1482.287223
-10546.91233,3600,1511.57697
-12296.259998,3600,1540.754772
-10625.470488,3600,1569.495259
-9373.169562,3600,1599.342926
-9608.803164,3600,1629.985918
-9915.598076,3600,1659.002878
-10626.717215,3600,1687.074557
-10266.343723,3600,1714.558792
-9352.235656,3600,1742.679737
-10675.952203,3600,1770.62087
-9309.761651,3600,1798.688553
-12532.260898,3600,1826.812925
-8150.465167,3600,1855.286909
-10869.574215,3600,1883.15531
-9652.270422,3600,1911.158998
-11504.943233,3600,1939.032388
-8227.551204,3600,1967.512454
-11792.706295,3600,1995.577367
-9338.67417,3600,2023.401148
-11508.958641,3600,2051.251204
-8481.970547,3600,2079.173319
-9576.938758,3600,2106.909558
-10309.581842,3600,2135.211976
-10166.499694,3600,2163.285399
-10131.300447,3600,2191.878313
-10895.949749,3600,2219.683146
-11690.818733,3600,2248.070776
-11585.117183,3600,2275.745433
-10056.197485,3600,2305.530699
-11120.527263,3600,2333.3725
-10547.675553,3600,2361.533342
-11412.484577,3600,2391.527253
-10639.631672,3600,2423.909523
-9172.142875,3600,2452.760914
-9025.198102,3600,2480.284016
-8343.687242,3600,2509.211909
-10186.932031,3600,2539.294397
-7548.740677,3600,2568.271815
-12449.306379,3600,2597.964074
-9366.632882,3600,2627.781502
-8985.88162,3600,2655.944427
-9901.046622,3600,2684.374891
-8403.948275,3600,2712.451882
-11562.771236,3600,2740.776659
-10574.154234,3600,2768.628797
-11532.124878,3600,2796.570454
-8363.400235,3600,2824.531175
-11811.775426,3600,2852.682559
-11104.459256,3600,2881.026095
-9806.441422,3600,2909.537467
-11599.129486,3600,2937.917693
-10817.615847,3600,2965.714618
-7165.240391,3600,2993.674099
-10274.079115,3600,3021.924518
-9428.001652,3600,3050.252966
-10161.724117,3600,3078.590576
-9869.650781,3600,3106.418971
-10011.067542,3600,3134.873892
-10859.945087,3600,3162.818904
