#{"t_start": 1781337065.3056693, "env_id": "None"}
r,l,t
-8784.34641,3600,25.133827
-4919.65948,3600,50.21178
-222.524409,3600,75.357184
-1053.180849,3600,100.671537
-3351.505861,3600,134.733596
-1932.72969,3600,169.184584
-228.466058,3600,197.321933
-4301.989329,3600,224.991462
-1255.879732,3600,252.912734
-4356.095958,3600,280.963759
-2663.49148,3600,307.030669
-7810.156426,3600,332.822709
-657.961287,3600,358.260071
-909.339027,3600,383.590328
-1117.827478,3600,408.876629
-2031.182169,3600,437.065928
-7582.228241,3600,465.166031
-886.710411,3600,494.521533
-524.158575,3600,523.398594
-395.76343,3600,551.428994
-225.177736,3600,578.714228
-143.007594,3600,606.401418
-1685.891345,3600,636.322956
-194.927293,3600,661.494115
-272.431751,3600,689.259005
-624.094428,3600,718.146965
-28.49729,3600,747.528522
-591.483089,3600,776.792856
-680.147911,3600,802.325022
-1251.017579,3600,831.716592
-428.140799,3600,860.362453
-178.190487,3600,886.665427
-2154.993925,3600,912.313497
-22.851791,3600,939.64536
-44.909774,3600,965.411446
-13.07524,3600,990.669804
-24.895512,3600,1016.35844
-86.747774,3600,1045.290647
-90.144591,3600,1074.871146
-13.387576,3600,1104.33444
-33.864975,3600,1132.154426
-473.727892,3600,1157.605318
-126.745064,3600,1183.228518
-423.37705,3600,1209.156793
-52.12143,3600,1234.910641
-24.287284,3600,1260.489494
-231.585223,3600,1286.794879
-72.986187,3600,1312.157001
-24.495862,3600,1337.345217
-82.636978,3600,1362.982918
-80.469178,3600,1388.465278
-8.942688,3600,1413.994477
-13.682325,3600,1438.827756
-9.211622,3600,1464.584579
-58.212092,3600,1494.314232
-140.168047,3600,1522.637175
-12.713652,3600,1551.823647
-56.71218,3600,1580.855114
-22.264683,3600,1610.553551
-5.921008,3600,1639.439349
-3592.755013,3600,1668.718872
-100.133001,3600,1698.17087
-16.299514,3600,1727.645959
1.508151,3600,1756.281188
-19.240453,3600,1785.619772
-17.858365,3600,1814.645727
-17.24154,3600,1844.256248
-4.506034,3600,1873.220127
-20.719375,3600,1903.324408
-8.911663,3600,1933.042746
-21.985746,3600,1962.398209
-10.973827,3600,1987.352336
-17.799204,3600,2012.493563
-76.715535,3600,2037.516356
-52.798743,3600,2062.801809
-74.801166,3600,2088.525086
-21.149105,3600,2114.272072
-58.829506,3600,2139.254067
-17.152761,3600,2165.205856
-22.125331,3600,2190.146406
-402.636905,3600,2216.068816
-14.411861,3600,2241.575361
-119.724982,3600,2267.295153
-57.045597,3600,2292.963396
-33.821174,3600,2324.876747
-10.273608,3600,2353.199393
-24.93625,3600,2381.610301
-6.967783,3600,2410.122516
-12.669981,3600,2438.255764
0.242834,3600,2466.487138
-79.240004,3600,2495.42731
-4.825217,3600,2523.820832
-21.885664,3600,2552.031265
-74.695522,3600,2580.637681
-4.938876,3600,2610.946481
-55.125828,3600,2639.004252
-4.650396,3600,2667.126471
-0.826762,3600,2692.255287
-30.34616,3600,2719.196238
-2.75106,3600,2744.929158
-7.051696,3600,2770.251973
-4.289508,3600,2797.763963
-22.006826,3600,2823.357177
-6.226381,3600,2848.91799
0.228245,3600,2876.75397
-7.347906,3600,2902.093894
-11.374409,3600,2929.603436
-11.537512,3600,2957.428031
-16.137406,3600,2982.761824
-87.457547,3600,3008.272784
-10.204461,3600,3033.795029
-1.637841,3600,3058.848294
-20.881127,3600,3084.513903
-423.293963,3600,3109.779909
-3.459465,3600,3136.152452
-7.824573,3600,3165.686274
-8.200334,3600,3194.947994
