#{"t_start": 1782120639.2290294, "env_id": "None"}
r,l,t
-6462.136248,3600,33.126275
-6840.345711,3600,67.365293
-5501.587754,3600,103.511223
-4246.891484,3600,139.192376
-4935.77615,3600,176.177097
-4934.915,3600,211.246975
-7293.459883,3600,249.76293
-5475.635672,3600,285.137469
-5067.272093,3600,322.053396
-4118.778659,3600,358.537919
-3529.901267,3600,394.629264
-5594.152624,3600,432.641308
-537.102889,3600,464.503675
-1848.834441,3600,498.117689
-298.087804,3600,531.899117
-1283.833226,3600,565.964697
-3043.078292,3600,602.25254
-44.709374,3600,634.419899
-63.746404,3600,665.033952
-1530.145415,3600,700.246617
-948.566083,3600,734.739127
-744.90835,3600,766.804536
-155.240123,3600,799.223077
-1751.996753,3600,833.587519
-765.748654,3600,868.089671
-208.798829,3600,901.205285
-348.301051,3600,934.57108
-63.863325,3600,966.402354
-235.126854,3600,999.809098
-57.978658,3600,1031.105999
-2650.95525,3600,1065.941518
-46.393809,3600,1098.776947
-1179.718727,3600,1133.938471
-262.557928,3600,1166.936773
-96.896347,3600,1199.427752
-85.670939,3600,1232.741273
-214.112289,3600,1265.97474
-363.280745,3600,1298.464926
-55.772363,3600,1329.578363
-51.411939,3600,1363.041423
-67.062589,3600,1394.684866
-37.22339,3600,1425.860157
-26.348993,3600,1458.456748
-661.326545,3600,1491.734724
-106.623082,3600,1525.700087
-140.126918,3600,1557.578914
-25.685005,3600,1589.812018
-385.870821,3600,1624.57848
-6.937448,3600,1656.249925
-43.794193,3600,1694.524754
-394.711959,3600,1729.321569
-63.235837,3600,1761.571881
-727.003039,3600,1794.708856
-41.350953,3600,1827.846831
-183.509802,3600,1860.8988
-6.927911,3600,1892.462241
-270.686655,3600,1924.88402
-164.990919,3600,1959.515224
-53.117479,3600,1992.141712
-51.107239,3600,2023.168229
-185.177728,3600,2056.068559
-18.042597,3600,2088.411642
-49.325091,3600,2120.533742
-715.802085,3600,2153.814431
-134.098745,3600,2186.484885
-26.903983,3600,2218.195118
-22.794861,3600,2251.387705
-74.270323,3600,2284.091374
-80.49089,3600,2316.234478
-2370.305965,3600,2352.994897
-21.021692,3600,2386.467723
-21.255177,3600,2418.219047
-10.709128,3600,2450.313803
-35.644611,3600,2486.10141
-310.873712,3600,2520.244518
-15.291287,3600,2551.7195
-136.40772,3600,2584.168414
-42.746366,3600,2616.337393
-4.536223,3600,2653.129102
-62.642484,3600,2685.594522
-235.192294,3600,2720.162415
-103.936074,3600,2752.546731
-1157.480352,3600,2788.247592
