episode,training_timestep,episode_reward,mean_queue,max_queue,mean_waiting_time,mean_speed,total_CO2,total_NOx,total_PMx,total_fuel,arrived_vehicles,pedestrian_waiting,phase_changes,collisions,teleports
0,3600,-6462.136248,27.25,190,7.596690270228683,3.9862673789582574,276915052.63811785,101471.27814840346,9507.551066842749,89773087.51381764,1530,1.246388888888889,359,6,2
1,7200,-6840.345711,28.37465277777778,190,8.329082714237025,3.6930774073855717,281788106.96473145,103597.42517832678,9365.698290147124,91352923.60998698,1512,1.2694444444444444,358,7,8
2,10800,-5501.587754,25.81597222222222,190,7.658541475533188,3.967931638989207,270980575.08178306,98683.1413047422,9666.872923836989,87849108.84196597,1552,1.183888888888889,359,9,2
3,14400,-4246.891484,22.926041666666666,190,6.882553609314972,4.571515146750122,256817159.40801927,92897.38402811985,9793.949234434065,83257392.91255146,1573,1.195,356,2,1
4,18000,-4935.77615,25.904166666666665,190,6.78315916478391,3.9419499374620104,275265673.98657477,100170.14934130377,9664.763231955472,89238284.08463779,1557,1.2958333333333334,354,9,1
5,21600,-4934.915,23.21736111111111,190,7.445514263755725,4.462350803902731,259233723.40821028,93642.1765158153,9807.32421144088,84040805.32477577,1584,1.273611111111111,350,2,4
6,25200,-7293.459883,29.81111111111111,190,9.004016087351546,3.6662734181297845,296234931.624022,108424.66218927558,9664.793382276752,96036391.95625341,1551,1.268888888888889,350,7,6
7,28800,-5475.635672,23.572569444444444,190,7.543259222248326,4.763277481680373,253950190.6477164,92125.07278453748,9703.319188971469,82327981.38430889,1558,1.2194444444444446,350,17,3
8,32400,-5067.272093,24.9125,190,7.156557557508992,4.139842115630515,266887579.86451602,97229.76535018007,9574.003895701171,86522203.06037617,1544,1.4722222222222223,348,13,10
9,36000,-4118.778659,23.416319444444444,190,6.386560182970425,4.505478367755226,257547563.3625943,93193.11313885754,9791.703759782371,83494187.99250236,1575,1.198611111111111,348,11,2
10,39600,-3529.901267,22.46840277777778,190,5.620666978193359,4.427686548913121,256676563.13274488,92699.0945789322,9810.532549934247,83211798.3003548,1583,1.075,351,6,1
11,43200,-5594.152624,28.11875,190,7.153145354026308,3.634550666868604,288485685.9311484,105356.86690991666,9675.70389552434,93524130.34225962,1555,1.381388888888889,340,0,0
