time,junctionId,approachId,travelTimeSec,freeFlowTravelTimeSec,delaySec,usualDelaySec,stops,queueLengthMeters,volumePerHour,isClosed,stopsHistogram
2026-05-09T11:16:11.587Z,69ff16febd4231a58af7a1f1,257100653,53,20,33,23,0.73,20.79,154,false,"0,6;1,7;2,2"
2026-05-09T11:16:11.587Z,69ff16febd4231a58af7a1f1,625156923,62,22,40,49,0.64,27.24,112,false,"0,6;1,7;2,1"
2026-05-09T11:16:11.587Z,69ff16febd4231a58af7a1f1,-1881102440,53,19,34,23,0.48,50.52,251,false,"0,15;1,5;2,3"
2026-05-09T11:16:11.587Z,69ff16febd4231a58af7a1f1,1676040914,53,23,30,37,0.5,6.99,126,false,"0,6;1,3;2,1"
2026-05-09T11:16:41.498Z,69ff16febd4231a58af7a1f1,257100653,53,20,33,23,0.73,33.92,223,false,"0,6;1,7;2,2"
2026-05-09T11:16:41.498Z,69ff16febd4231a58af7a1f1,625156923,65,22,43,49,0.73,44.46,211,false,"0,6;1,7;2,2"
2026-05-09T11:16:41.498Z,69ff16febd4231a58af7a1f1,-1881102440,53,19,34,23,0.48,82.46,425,false,"0,16;1,6;2,3"
2026-05-09T11:16:41.498Z,69ff16febd4231a58af7a1f1,1676040914,53,23,30,37,0.5,11.41,205,false,"0,6;1,3;2,1"
2026-05-09T11:17:03.416Z,69ff16febd4231a58af7a1f1,257100653,53,20,33,23,0.73,20.79,154,false,"0,6;1,7;2,2"
2026-05-09T11:17:03.416Z,69ff16febd4231a58af7a1f1,625156923,62,22,40,49,0.64,27.24,112,false,"0,6;1,7;2,1"
2026-05-09T11:17:03.416Z,69ff16febd4231a58af7a1f1,-1881102440,53,19,34,23,0.48,50.52,252,false,"0,15;1,5;2,3"
2026-05-09T11:17:03.416Z,69ff16febd4231a58af7a1f1,1676040914,53,23,30,37,0.5,6.99,126,false,"0,6;1,3;2,1"
2026-05-09T11:18:03.783Z,69ff16febd4231a58af7a1f1,257100653,53,20,33,23,0.83,42.23,254,false,"0,4;1,6;2,2"
2026-05-09T11:18:03.783Z,69ff16febd4231a58af7a1f1,625156923,65,22,43,49,0.73,55.35,274,false,"0,6;1,7;2,2"
2026-05-09T11:18:03.783Z,69ff16febd4231a58af7a1f1,-1881102440,50,19,31,23,0.5,102.64,549,false,"0,16;1,7;2,3"
2026-05-09T11:18:03.783Z,69ff16febd4231a58af7a1f1,1676040914,53,23,30,37,0.5,14.2,256,false,"0,6;1,3;2,1"
2026-05-09T11:19:03.571Z,69ff16febd4231a58af7a1f1,257100653,53,20,33,23,1.08,194.97,298,false,"0,3;1,6;3,1;2,2"
2026-05-09T11:19:03.571Z,69ff16febd4231a58af7a1f1,625156923,65,22,43,48,0.67,66.58,310,false,"0,5;1,6;2,1"
2026-05-09T11:19:03.571Z,69ff16febd4231a58af7a1f1,-1881102440,45,19,26,23,0.52,123.47,691,false,"0,15;1,7;2,3"
2026-05-09T11:19:03.571Z,69ff16febd4231a58af7a1f1,1676040914,67,23,44,37,0.5,14.88,286,false,"0,7;1,4;2,1"
2026-05-09T11:20:03.485Z,69ff16febd4231a58af7a1f1,257100653,53,20,33,23,1.08,347.13,325,false,"0,3;1,6;3,1;2,2"
2026-05-09T11:20:03.485Z,69ff16febd4231a58af7a1f1,625156923,65,22,43,47,0.6,71.06,307,false,"0,5;1,4;2,1"
2026-05-09T11:20:03.485Z,69ff16febd4231a58af7a1f1,-1881102440,39,19,20,23,0.58,131.79,779,false,"0,13;1,8;2,3"
2026-05-09T11:20:03.485Z,69ff16febd4231a58af7a1f1,1676040914,60,23,37,36,0.5,13.75,297,false,"0,7;1,4;2,1"
2026-05-09T11:21:03.441Z,69ff16febd4231a58af7a1f1,257100653,51,20,31,23,0.85,407.93,364,false,"0,6;1,4;3,1;2,2"
2026-05-09T11:21:03.441Z,69ff16febd4231a58af7a1f1,625156923,67,22,45,47,0.75,72.86,320,false,"0,6;1,4;3,1;2,1"
2026-05-09T11:21:03.441Z,69ff16febd4231a58af7a1f1,-1881102440,39,19,20,23,0.61,135.12,787,false,"0,12;1,8;2,3"
2026-05-09T11:21:03.441Z,69ff16febd4231a58af7a1f1,1676040914,60,23,37,36,0.5,13.3,316,false,"0,7;1,4;2,1"
2026-05-09T11:22:03.537Z,69ff16febd4231a58af7a1f1,257100653,51,20,31,23,0.85,430.02,374,false,"0,6;1,4;3,1;2,2"
2026-05-09T11:22:03.537Z,69ff16febd4231a58af7a1f1,625156923,56,22,34,46,0.75,73.57,357,false,"0,6;1,4;3,1;2,1"
2026-05-09T11:22:03.537Z,69ff16febd4231a58af7a1f1,-1881102440,33,19,14,22,0.6,136.45,703,false,"0,13;1,9;2,3"
2026-05-09T11:22:03.537Z,69ff16febd4231a58af7a1f1,1676040914,56,23,33,36,0.4,52.0,318,false,"0,6;1,4"
2026-05-09T11:23:03.613Z,69ff16febd4231a58af7a1f1,257100653,59,20,39,23,0.86,437.45,364,false,"0,6;1,5;3,1;2,2"
2026-05-09T11:23:03.613Z,69ff16febd4231a58af7a1f1,625156923,61,22,39,46,0.85,73.86,399,false,"0,6;1,4;3,1;2,2"
