seed,avg_waiting_time,avg_queue_length,max_queue_length,avg_speed,total_arrived,phase_changes,avg_ped_waiting,total_co2,total_nox,total_pmx,total_fuel,total_collisions,total_teleports
0,6.013799950180432,11.675694444444444,100,7.247719300304288,1627,194,2.06,325639460484.6709,114150687.47176224,22990657.80451837,105568454985.04996,2,2
5,6.483268764332929,12.455555555555556,80,7.0437337787539205,1617,194,2.2,322427157075.0818,112910946.31878763,22981549.2786496,104527043657.30247,3,0
10,8.74950194951471,23.515625,185,5.419958083624999,1601,194,1.8766666666666667,373245097697.6325,132359865.83042431,22679974.322515894,121001832302.25882,5,5
15,9.713397346841115,25.616319444444443,175,4.838184122686249,1610,194,2.173888888888889,418870083706.59644,149401982.4243005,22566583.38530387,135793055420.58731,2,4
20,11.673567785739854,30.302777777777777,190,4.423097259296016,1562,194,2.2155555555555555,434100438804.5352,155826204.46354422,22365941.079845533,140730676840.0817,12,6
25,8.568655401792459,17.361458333333335,140,5.968093426954368,1612,194,1.9608333333333334,359262187261.2577,126918899.96153675,22854318.53495814,116468661698.81157,11,7
30,9.546734527454806,19.573958333333334,165,5.652182267976102,1605,194,2.039722222222222,368632371409.0528,130506948.40605964,22820143.470358975,119506411182.004,3,2
35,10.844296083708738,28.786458333333332,190,4.562509000678523,1583,194,2.1219444444444444,430666351837.11,154445287.24805063,22457937.16513578,139617371045.69275,6,2
40,8.746282212306951,24.07847222222222,180,5.038199371661916,1596,194,2.0636111111111113,398074398913.9927,141574191.84172994,22617890.385967813,129051261911.60722,26,3
45,7.089467070951931,14.404166666666667,105,6.6574599560042635,1621,194,2.053611111111111,335447405013.4754,117820791.12189631,22961973.63389902,108748107606.99246,4,1
50,7.1865267482592685,15.959722222222222,130,6.339542362981376,1627,194,2.0125,366198496584.3469,129410529.10151884,22862847.853538103,118717346253.17291,4,0
55,10.346952220723617,22.675,170,5.148162783563438,1602,194,1.9180555555555556,396937751711.2971,141388180.19656056,22701428.383416373,128682785418.29146,13,4
60,9.93132911593709,22.507291666666667,190,5.560809310424198,1585,194,2.2075,366775614614.1455,129994406.0496222,22745516.11057305,118904493003.01218,14,7
65,7.62415095601001,15.796180555555555,145,6.347136449967665,1609,194,1.875,345356310943.8412,121577674.18054654,22884459.853349328,111960490039.63863,1,0
70,7.9400329680787625,16.316319444444446,135,6.2584597109427,1616,194,2.2975,378139932883.0561,134133050.86837661,22794942.990979057,122588681746.1093,2,1
75,9.884160826765,23.304513888888888,180,5.134425159225763,1592,194,2.026666666666667,389767542155.4454,138444211.53109524,22719374.316271894,126358251648.72217,10,6
80,9.413689072601848,20.580555555555556,190,5.684058479413236,1586,194,2.1225,359323231828.6853,126913055.80166963,22806462.146025285,116488458788.11948,7,5
85,8.196400595436767,18.15451388888889,150,5.945391207180784,1623,194,2.1633333333333336,405494036260.8274,144507770.04094845,22706515.48430464,131456665211.71942,1,0
90,10.500482893586502,28.233680555555555,190,4.527509242534967,1587,194,2.0566666666666666,427956321537.1875,153342437.32347554,22446179.190462228,138738799391.54434,4,1
95,8.107663265337468,16.948611111111113,140,6.0779546906974025,1608,194,1.9152777777777779,348068121731.82825,122537983.27121805,22888296.11340158,112839632980.87784,5,5
