seed,avg_waiting_time,avg_queue_length,max_queue_length,avg_speed,total_arrived,phase_changes,avg_ped_waiting,total_co2,total_nox,total_pmx,total_fuel,total_collisions,total_teleports
0,4.493699489362786,9.634375,85,7.766033981469552,1622,256,1.5877777777777777,289686997091.54736,100718326.21750507,23046553.829259466,93912989344.923,6,1
5,3.9427419117271376,8.634722222222223,50,8.064682620138765,1622,256,1.5127777777777778,287190989226.4391,99707015.09419507,23061253.39902945,93103791819.02768,14,6
10,4.58690544628341,11.026736111111111,110,7.518146940388301,1617,256,1.5183333333333333,292560102958.63367,101739443.0866358,23036983.850950897,94844415933.96469,8,5
15,4.529036192063978,10.275694444444444,80,7.534429766275464,1623,256,1.4594444444444445,310370178531.90295,108442224.9767767,22988854.21710307,100618278300.43747,8,0
20,4.65362789025146,10.410069444444444,90,7.52009781590039,1623,256,1.7647222222222223,310073394622.0679,108402757.6944359,23000184.819328573,100522081630.5507,9,2
25,4.873764392704019,11.667708333333334,105,7.299349564102623,1622,256,1.6125,327524746346.7219,114933682.56929648,22909210.792558182,106179651741.13446,10,5
30,4.248823857034289,9.422569444444445,80,7.846335766525919,1619,256,1.5969444444444445,297131717021.9153,103474667.05635093,23023769.07296652,96326493289.8844,1,0
35,4.65799827433892,11.07986111111111,100,7.459517925468252,1622,256,1.54,295475188281.66895,102851578.48205161,23019045.434929125,95789466632.32585,6,1
40,4.164485100816626,9.634722222222223,85,7.7559606044468214,1627,256,1.7097222222222221,298480222214.37317,103986401.38378403,23021999.220678024,96763667613.44177,10,6
45,4.141456572552174,9.17361111111111,85,7.938334025179851,1628,256,1.6430555555555555,295780392257.4708,103012146.24635503,23011897.411290586,95888416644.68347,2,0
50,4.300370383299175,10.230208333333334,90,7.614682734639443,1625,256,1.6211111111111112,310066879839.2711,108264658.01094562,23004175.820174865,100519948923.36337,3,0
55,4.054858796216599,8.877777777777778,55,7.965547958418456,1621,256,1.5680555555555555,290890392440.7748,101139459.67776385,23063532.231327966,94303117191.40196,5,2
60,3.8996294163151006,8.793402777777779,65,7.999957975256847,1626,256,1.8991666666666667,291795465767.21643,101494429.47886051,23030030.65203899,94596530254.27226,12,3
65,3.8071774039247903,8.487152777777778,65,8.102751747875685,1617,256,1.4647222222222223,285763366526.0838,99208501.54765081,23031750.601370223,92640968672.90811,4,2
70,3.6570499575473665,8.140625,50,8.204061026286727,1628,256,1.4558333333333333,279574078275.31396,96877738.35237095,23086757.217742622,90634462999.42575,2,2
75,5.085744659048149,12.109375,95,7.131553783702006,1622,256,1.4191666666666667,332577259357.4287,116837614.50752322,22918332.541215155,107817635743.41306,9,0
80,4.48545151395621,10.234375,85,7.606923491202979,1625,256,1.7125,308301582692.1725,107699534.67970651,22980779.007678743,99947670088.07355,6,0
85,3.588036029381229,8.207638888888889,45,8.166529512734575,1615,256,1.611388888888889,284193383576.1554,98613785.73009273,23046995.343956217,92131997146.44269,7,4
90,5.670887905906272,13.602083333333333,115,7.034057872333095,1628,256,1.8869444444444445,337701745450.26196,118770440.9653894,22876464.654505707,109478952471.61786,14,8
95,5.055804118766409,11.497222222222222,100,7.280358306565629,1624,256,1.593888888888889,310278065583.71484,108467108.55340093,23005650.27018935,100588429811.21768,6,2
