seed,total_reward,avg_waiting_time,avg_queue_length,max_queue_length,avg_speed,total_arrived,phase_changes,avg_ped_waiting,total_co2,total_nox,total_pmx,total_fuel,total_collisions,total_teleports,action_0_pct,action_1_pct
0,-0.07232342,2.5161955665634226,6.604513888888889,40,8.763319847443928,1629,344,1.3763888888888889,271981446785.83655,94073225.03862308,23041688.47651234,88173006352.54585,10,5,0.31277777777777777,0.6872222222222222
5,-0.23033947,3.083838245833157,8.080555555555556,60,8.28690488310524,1617,323,1.4627777777777777,277265367362.9703,96066741.62998773,23049779.808536157,89885998626.10593,8,2,0.4125,0.5875
10,-0.07104704,2.6242491767983323,6.880902777777778,45,8.702216358594962,1626,332,1.3283333333333334,265609284355.23303,91725241.06869894,23059291.008065727,86107213298.92911,10,2,0.4161111111111111,0.5838888888888889
15,-0.092479326,3.0460920129433333,8.177083333333334,80,8.394082199132807,1626,330,1.3288888888888888,276981876498.2604,95998506.35799888,23029488.89861203,89794104585.70926,11,4,0.42194444444444446,0.5780555555555555
20,-0.10220726,2.654819610705896,7.459375,70,8.531692666885718,1618,339,1.4055555555555554,278577954184.4893,96591349.77651808,23028522.48666052,90311542291.21075,5,0,0.39222222222222225,0.6077777777777778
25,-0.06386643,2.73733374109389,7.049652777777778,50,8.629309240262225,1622,335,1.3194444444444444,272087596441.18512,94108846.91627018,23050114.272914797,88207414511.27267,7,4,0.3775,0.6225
30,-0.6071383,3.0117856133136653,8.046875,80,8.435745537172199,1611,335,1.5841666666666667,274349986925.10516,94969519.63028765,23039494.338294506,88940862784.9296,14,1,0.37083333333333335,0.6291666666666667
35,-0.29102778,3.910931776102653,10.088541666666666,85,7.810151008625232,1625,304,1.676111111111111,314817543765.5287,110170815.3767799,22966127.284054093,102060086304.88736,7,2,0.5072222222222222,0.49277777777777776
40,-2.6337905,4.06820114917279,10.246875,95,7.8494214295241385,1625,319,1.5255555555555556,315040061095.42993,110235728.2396757,22946947.619369708,102132225670.95906,4,4,0.46166666666666667,0.5383333333333333
45,-0.72790533,2.9051928551719897,8.03298611111111,75,8.42088499348146,1630,348,1.2108333333333334,277892731125.0818,96292692.3975926,23021766.025570195,90089393298.50739,20,5,0.3425,0.6575
50,-0.6439518,3.1502780170365834,7.7868055555555555,55,8.49239021591731,1619,327,1.3505555555555555,280752504355.07404,97362083.8227649,23074339.457155958,91016502673.05446,8,3,0.44583333333333336,0.5541666666666667
55,-0.032769393,3.4110802293445746,8.745138888888889,60,8.089216913498088,1627,319,1.4483333333333333,292573070647.5744,101774646.01954535,23038372.69795461,94848626694.27005,7,4,0.4797222222222222,0.5202777777777777
60,-0.17411274,3.624645971631352,9.11111111111111,55,7.92438006179066,1615,311,1.4805555555555556,289697364574.5801,100718738.85087636,23017788.349402826,93916345748.53018,5,4,0.48083333333333333,0.5191666666666667
65,-1.1014287,4.378104318359161,11.136805555555556,100,7.553835535333797,1628,295,1.5622222222222222,331811811212.73804,116563278.9028503,22901314.417514794,107569487930.88152,2,1,0.5452777777777778,0.45472222222222225
70,-3.816645,3.8965654010531234,9.852430555555555,90,7.80698022839133,1626,324,1.5286111111111111,308054476907.0886,107562224.81789953,22948393.129406974,99867549853.37752,20,9,0.40555555555555556,0.5944444444444444
75,-1.8061146,3.7245356507626965,9.636458333333334,100,7.975582395595282,1623,322,1.4241666666666666,297716007896.7874,103752555.40434256,23012125.95764707,96515917489.56776,8,2,0.4411111111111111,0.5588888888888889
80,-0.24773033,2.631612775242144,7.082638888888889,60,8.691072012731434,1614,340,1.4783333333333333,267544114012.8402,92388175.97450078,23093607.05075387,86734456641.7982,6,0,0.3461111111111111,0.6538888888888889
85,-1.7008903,3.513983246034687,8.635416666666666,60,8.184725398644416,1628,315,1.5444444444444445,278832210058.88727,96653784.28563827,23046539.465938974,90393965297.65959,14,3,0.4652777777777778,0.5347222222222222
90,-0.19412786,2.8780849674536544,7.666666666666667,55,8.443718477333903,1623,332,1.3577777777777778,277188617504.2612,96017525.42500192,23068259.122099478,89861124275.35492,3,1,0.39611111111111114,0.6038888888888889
95,-0.051531024,3.3919712668071638,8.647569444444445,60,8.131210042645511,1626,319,1.4105555555555556,293061048026.9326,101932490.28448102,23024172.250488926,95006807429.22089,8,5,0.4494444444444444,0.5505555555555556
