seed,total_reward,avg_waiting_time,avg_queue_length,max_queue_length,avg_speed,total_arrived,phase_changes,avg_ped_waiting,total_co2,total_nox,total_pmx,total_fuel,total_collisions,total_teleports,action_0_pct,action_1_pct
0,-4.8944826,5.227730746497087,10.852430555555555,105,7.7183180223417285,1628,312,2.0525,303108889401.7186,105807362.6456629,23014979.63687902,98264255726.36682,4,16,0.28055555555555556,0.7194444444444444
5,-13.679123,7.972812698524026,14.885763888888889,105,6.891347656003151,1620,268,2.727222222222222,342096153845.2301,120474730.7004728,22931097.86100597,110903580063.55649,4,35,0.41055555555555556,0.5894444444444444
10,-6.469258,5.992779105019482,11.950347222222222,90,7.44271319401452,1613,291,2.6341666666666668,324704330193.67413,113881375.55063719,22946554.270148974,105265307125.70543,7,26,0.3511111111111111,0.6488888888888888
15,-15.787396,7.990253062187094,15.72048611111111,115,6.658739622466469,1620,268,2.886388888888889,345962401771.735,121912102.73863694,22901229.188467544,112156985419.63654,8,35,0.39916666666666667,0.6008333333333333
20,-5.7125497,5.369100215235818,11.654166666666667,105,7.540531888966864,1623,308,2.1661111111111113,297411214253.3438,103698195.05323148,22978381.246618252,96417117806.01462,9,21,0.2961111111111111,0.7038888888888889
25,-10.877398,6.629747501285898,12.886111111111111,105,7.381175471965249,1629,288,2.4208333333333334,325377755935.43665,114153599.20599914,22957063.00365696,105483610972.10812,9,33,0.31583333333333335,0.6841666666666667
30,-13.4508,7.988507882626517,14.702430555555555,105,6.93044228368817,1629,268,2.8177777777777777,339407840891.3078,119517101.38389541,22945453.67179462,110032063717.67647,10,37,0.4075,0.5925
35,-6.7776513,5.366067962162671,11.485763888888888,135,7.69571415911834,1608,300,2.3541666666666665,319410663717.6034,111932050.51858573,22950084.30818363,103549146647.24463,8,23,0.31305555555555553,0.6869444444444445
40,-29.47687,10.184495149050589,19.007291666666667,140,6.199618884656768,1630,243,3.983611111111111,404445070668.80585,143989471.85653442,22785261.544500437,131116564468.78198,6,46,0.4713888888888889,0.5286111111111111
45,-10.0023985,6.260166069802853,12.639236111111112,110,7.320991338669525,1625,292,2.4808333333333334,319338481410.3927,111907524.21563312,22953895.262186516,103525741879.76224,9,25,0.3288888888888889,0.6711111111111111
50,-17.365158,8.811477130732094,16.127777777777776,115,6.662784927985867,1631,255,2.9080555555555554,358666068871.334,126769774.94848375,22879821.011814483,116275407161.09589,7,45,0.4266666666666667,0.5733333333333334
55,-7.568941,5.322819061885497,11.086458333333333,120,7.833857188619469,1627,308,1.92,318289744795.0687,111563943.72117403,22972018.914797112,103185748386.64056,8,21,0.30444444444444446,0.6955555555555556
60,-13.217828,7.5111992300554435,13.647569444444445,115,7.1665400441107465,1604,267,2.6955555555555555,337363665240.6949,118711930.30208755,22938384.36923898,109369353866.43068,2,33,0.38861111111111113,0.6113888888888889
65,-10.812357,6.972569627924193,13.139930555555555,115,7.226049931537414,1612,279,2.756111111111111,318245012210.1659,111558623.86636618,22942442.741208293,103171249326.16425,10,33,0.3838888888888889,0.6161111111111112
70,-11.54357,7.118581941428652,14.670486111111112,115,7.017111405279543,1632,284,2.6058333333333334,368656122036.6943,130391615.931119,22866772.60731576,119514091951.9871,8,25,0.37305555555555553,0.6269444444444444
75,-11.721288,6.061268742018438,12.035763888888889,110,7.659464592376108,1620,303,2.560277777777778,314290579094.80066,109970559.78454521,22969699.233864427,101889251438.15326,10,23,0.29444444444444445,0.7055555555555556
80,-9.9972515,6.423831983879533,12.316666666666666,120,7.45227168533301,1627,291,2.7641666666666667,319986008017.72406,112168454.10889599,23008370.280102506,103735664057.31595,9,29,0.3441666666666667,0.6558333333333334
85,-5.359428,4.588573680401225,9.64861111111111,110,8.089530059577061,1612,319,2.0975,286844744168.8361,99722386.8473807,23028931.85322828,92991558430.6615,9,14,0.2575,0.7425
90,-10.59939,6.493797448359613,12.372916666666667,100,7.412915295208589,1611,283,2.5183333333333335,325254687977.21674,114113858.89981629,22956752.773403645,105443722672.65584,18,32,0.35555555555555557,0.6444444444444445
95,-7.0034747,6.008163325773108,11.890625,90,7.5720358783268775,1605,291,2.3933333333333335,312825828878.66364,109434239.83997557,22978580.961364765,101414384807.89525,2,28,0.3408333333333333,0.6591666666666667
