seed,total_reward,avg_waiting_time,avg_queue_length,max_queue_length,avg_speed,total_arrived,phase_changes,avg_ped_waiting,total_co2,total_nox,total_pmx,total_fuel,total_collisions,total_teleports,action_0_pct,action_1_pct
0,-0.2457556,3.061018332343415,7.920833333333333,50,8.370353469973846,1629,312,1.4825,286834907568.3409,99657693.63230643,22992167.02953904,92988367599.1012,3,2,0.3838888888888889,0.6161111111111112
5,-0.03756878,3.008060305918127,7.704861111111111,60,8.511580855307741,1619,315,1.355,267866036509.544,92551055.17630626,23086401.73570264,86838821398.54099,6,3,0.4116666666666667,0.5883333333333334
10,-6.901963,5.14461572877951,12.146180555555556,110,7.4751831502963135,1630,288,1.9927777777777778,321540467694.57355,112883755.66608447,22967604.11961176,104239623212.05017,9,10,0.4913888888888889,0.5086111111111111
15,-0.43731037,3.3513121931740275,8.876041666666667,80,8.173898295895608,1615,316,1.3588888888888888,300589913453.5717,104805715.49988124,23006054.68773797,97447614850.31639,5,1,0.4075,0.5925
20,-0.62466395,2.7728873022418177,7.114236111111111,60,8.68772086077937,1614,326,1.4761111111111112,269231788962.01715,93085032.54063463,23077770.574732933,87281597695.53152,4,3,0.3425,0.6575
25,-0.41476727,2.7296724056321686,7.303125,65,8.576997912122252,1612,324,1.2769444444444444,271153584984.26654,93779475.88072506,23072103.620126422,87904614336.04272,2,1,0.35638888888888887,0.6436111111111111
30,0.0005570203,2.9248715606084206,7.698611111111111,55,8.402664514539612,1628,319,1.4672222222222222,284863913897.2593,98896414.6474477,23033022.389076546,92349377760.7112,2,2,0.4041666666666667,0.5958333333333333
35,-0.62816536,2.8650984001224584,7.620138888888889,70,8.465814773381517,1618,323,1.5547222222222221,273351299054.17633,94599957.63711193,23054225.924602345,88617097148.16109,4,3,0.35805555555555557,0.6419444444444444
40,-0.061326724,3.642342605860157,9.271875,65,7.911240575927207,1624,307,1.6580555555555556,287619742800.70276,99913995.55438256,23046837.344716426,93242792839.95609,17,5,0.4772222222222222,0.5227777777777778
45,-0.0015383658,2.915745530685719,7.451736111111111,55,8.500793257887683,1620,319,1.5575,280550117215.2385,97273555.88233295,23032540.927716002,90950887037.64468,7,3,0.3933333333333333,0.6066666666666667
50,-0.6935584,3.6466713966885185,9.110069444444445,80,8.174975182964332,1627,308,1.7533333333333334,294078771022.22845,102412634.31597897,23024648.784753412,95336757163.3699,5,2,0.43805555555555553,0.5619444444444445
55,-0.6195227,2.732176786922217,7.332291666666666,50,8.524182304417357,1622,327,1.4113888888888888,274736553243.66406,95093319.76215024,23073346.796998825,89066179647.15683,1,1,0.375,0.625
60,-3.145012,4.20853176108646,10.875347222222222,100,7.710424340261875,1627,303,1.6077777777777778,296323662253.14435,103274826.36730519,22989604.692364447,96064542118.86572,9,4,0.4625,0.5375
65,-0.07348804,2.9480524228129337,7.595486111111111,60,8.476143342228752,1630,327,1.4447222222222222,281201564602.2448,97549095.65202618,23027888.110600427,91162084112.67882,8,0,0.3516666666666667,0.6483333333333333
70,-0.18550153,3.0125361728643782,8.009027777777778,55,8.341081716323933,1622,315,1.4905555555555556,278321937431.9865,96476141.79267786,23042309.7765266,90228539073.84323,8,2,0.42833333333333334,0.5716666666666667
75,-0.15596229,3.2033726541517793,8.315972222222221,55,8.278381682773793,1618,312,1.3880555555555556,286666295487.89703,99612924.16748682,23021275.154520325,92933698005.75078,9,2,0.42388888888888887,0.5761111111111111
80,-0.053013995,3.2958999724856577,8.651736111111111,60,8.240630416173353,1627,316,1.6152777777777778,290625411247.1879,101058922.38537139,23049293.07393754,94217207586.47784,7,1,0.4177777777777778,0.5822222222222222
85,-0.35744023,3.0421181284814436,7.910416666666666,50,8.358499094202497,1614,304,1.5186111111111111,281764277719.0467,97677727.5598923,23062742.050529115,91344503043.74414,7,3,0.45055555555555554,0.5494444444444444
90,-12.85692,5.275623394500842,13.011111111111111,110,7.309615910877359,1623,283,2.321388888888889,337110315756.3938,118682649.94497617,22893809.894538924,109287233106.80817,5,5,0.4886111111111111,0.5113888888888889
95,-0.2813394,2.9130266952535555,7.418055555555555,55,8.522169202722388,1626,319,1.3683333333333334,275756223546.36084,95469752.88873065,23074386.60604404,89396742396.8016,14,1,0.39666666666666667,0.6033333333333334
