Metrica,Unità,Baseline (media),Baseline (std),PPO (media),PPO (std),Δ% PPO vs Baseline
Tempo medio di attesa veicoli,s,5.422,1.156,4.315,1.188,20.4
Lunghezza media code,m,15.423,4.846,12.536,4.773,18.7
Lunghezza massima code,m,128.0,39.048,98.5,35.582,23.0
Velocità media,m/s,6.023,0.835,6.799,0.899,12.9
Veicoli arrivati,n°,1608.8,11.597,1614.1,10.988,0.3
Numero medio pedoni in attesa,n°,1.68,0.16,1.567,0.132,6.7
Emissioni CO2 totali,g,205492.701,30104.088,187322.045,30179.436,8.8
Emissioni NOx totali,g,72.658,11.614,65.691,11.505,9.6
Emissioni PMx totali,g,10.057,0.067,10.07,0.036,-0.1
Consumo carburante,g,66618.316,9759.528,60727.524,9783.939,8.8
Collisioni totali,n°,6.0,4.052,5.15,3.689,14.2
Teleport totali,n°,2.55,4.174,2.1,1.651,17.6
Cambi fase semaforica,n°,256.0,0.0,293.9,17.281,-14.8
