metrica,baseline_mean,ppo_mean,miglioramento_%
Tempo medio di attesa veicoli,5.422119416762679,4.315121870629781,20.416325444817293
Lunghezza media code,15.422638888888889,12.535729166666666,18.71864953216322
Lunghezza massima code,128.0,98.5,23.046875
Velocità media,6.022778903518969,6.79901944045875,12.888411634806019
Veicoli arrivati,1608.8,1614.1,0.3294380905022349
Numero medio pedoni in attesa,1.6801944444444445,1.5671527777777776,6.72789194372346
Emissioni CO2 totali,205492.7009247667,187322.04464358502,8.84248257938571
Emissioni NOx totali,72.65783923333083,65.6905520227051,9.589174800878988
Emissioni PMx totali,10.056907889914829,10.069653359279283,-0.12673348015084282
Consumo carburante,66618.31602161938,60727.52371776082,8.842601638184373
Collisioni totali,6.0,5.15,14.16666666666666
Teleport totali,2.55,2.1,17.647058823529402
Cambi fase semaforica,256.0,293.9,-14.804687499999991
