metrica,baseline_mean,ppo_mean,miglioramento_%
Tempo medio di attesa veicoli,8.875335966399717,4.315121870629781,51.38074899963239
Lunghezza media code,24.298993055555556,12.535729166666666,48.410499406268265
Lunghezza massima code,174.75,98.5,43.63376251788269
Velocità media,4.684838740484549,6.79901944045875,45.128142441793685
Veicoli arrivati,1583.4,1614.1,1.9388657319691687
Numero medio pedoni in attesa,2.082819444444444,1.5671527777777776,24.758106999726596
Emissioni CO2 totali,253247.66017219066,187322.04464358502,26.032072905937547
Emissioni NOx totali,91.26899598381405,65.6905520227051,28.025337285013098
Emissioni PMx totali,9.921159084834404,10.069653359279283,-1.4967432048526341
Consumo carburante,82100.15557310081,60727.52371776082,26.032388984098944
Collisioni totali,4.8,5.15,-7.2916666666666785
Teleport totali,1.75,2.1,-20.000000000000004
Cambi fase semaforica,194.0,293.9,-51.494845360824726
