Metrica,Unità,Baseline,PPO,Δ% PPO vs Baseline
Tempo medio di attesa veicoli,s,5.42 ± 1.16,4.66 ± 0.82,14.1
Lunghezza media code,m,15.42 ± 4.85,13.25 ± 2.87,14.1
Lunghezza massima code,m,128.00 ± 39.05,99.00 ± 22.92,22.7
Velocità media,m/s,6.02 ± 0.83,6.66 ± 0.62,10.6
Veicoli arrivati,n°,1608.80 ± 11.60,1618.75 ± 11.58,0.6
Numero medio pedoni in attesa,n°,1.68 ± 0.16,1.89 ± 0.23,-12.3
Emissioni CO2 totali,g,205492.70 ± 30104.09,191225.74 ± 17716.23,6.9
Emissioni NOx totali,g,72.66 ± 11.61,67.14 ± 6.71,7.6
Emissioni PMx totali,g,10.06 ± 0.07,10.08 ± 0.02,-0.2
Consumo carburante,g,66618.32 ± 9759.53,61993.07 ± 5743.46,6.9
Collisioni totali,n°,6.00 ± 4.05,7.85 ± 3.66,-30.8
Teleport totali,n°,2.55 ± 4.17,2.95 ± 1.82,-15.7
Cambi fase semaforica,n°,256.00 ± 0.00,273.65 ± 15.62,-6.9
