metrica,baseline_mean,ppo_mean,miglioramento_%
Tempo medio di attesa veicoli,5.422119416762679,4.6565441336040125,14.119483993507458
Lunghezza media code,15.422638888888889,13.251006944444445,14.080806534405587
Lunghezza massima code,128.0,99.0,22.65625
Velocità media,6.022778903518969,6.658425652361862,10.554044221538657
Veicoli arrivati,1608.8,1618.75,0.6184733963202415
Numero medio pedoni in attesa,1.6801944444444445,1.887652777777778,-12.347281233984173
Emissioni CO2 totali,205492.7009247667,191225.7393144319,6.942806993207065
Emissioni NOx totali,72.65783923333083,67.13847301343819,7.596380897273793
Emissioni PMx totali,10.056907889914829,10.081424734222185,-0.24378113606809926
Consumo carburante,66618.31602161938,61993.066186755685,6.94291016507034
Collisioni totali,6.0,7.85,-30.83333333333333
Teleport totali,2.55,2.95,-15.686274509803935
Cambi fase semaforica,256.0,273.65,-6.894531249999991
