metrica,baseline_mean,ppo_mean,miglioramento_%
Tempo medio di attesa veicoli,8.875335966399717,4.6565441336040125,47.53388321036211
Lunghezza media code,24.298993055555556,13.251006944444445,45.466847477390324
Lunghezza massima code,174.75,99.0,43.34763948497854
Velocità media,4.684838740484549,6.658425652361862,42.12710450036079
Veicoli arrivati,1583.4,1618.75,2.2325375773651577
Numero medio pedoni in attesa,2.082819444444444,1.887652777777778,9.370311343464694
Emissioni CO2 totali,253247.66017219066,191225.7393144319,24.49061950487053
Emissioni NOx totali,91.26899598381405,67.13847301343819,26.438904811284715
Emissioni PMx totali,9.921159084834404,10.081424734222185,-1.6153923953579734
Consumo carburante,82100.15557310081,61993.066186755685,24.49092726559094
Collisioni totali,4.8,7.85,-63.541666666666664
Teleport totali,1.75,2.95,-68.57142857142858
Cambi fase semaforica,194.0,273.65,-41.056701030927826
