time,junctionId,approachId,travelTimeSec,freeFlowTravelTimeSec,delaySec,usualDelaySec,stops,queueLengthMeters,volumePerHour,isClosed,stopsHistogram
2026-05-10T00:00:04.088Z,69ff16febd4231a58af7a1f1,257100653,24,20,4,2,0.0,0.1,68,false,"0,2"
2026-05-10T00:00:04.088Z,69ff16febd4231a58af7a1f1,625156923,47,22,25,5,0.63,29.52,224,false,"0,4;1,3;2,1"
2026-05-10T00:00:04.088Z,69ff16febd4231a58af7a1f1,-1881102440,28,19,9,1,0.05,36.13,488,false,"0,18;1,1"
2026-05-10T00:00:04.088Z,69ff16febd4231a58af7a1f1,1676040914,39,23,16,3,0.31,25.98,327,false,"0,9;1,4"
2026-05-10T00:01:03.499Z,69ff16febd4231a58af7a1f1,257100653,24,20,4,2,0.0,0.04,69,false,"0,2"
2026-05-10T00:01:03.499Z,69ff16febd4231a58af7a1f1,625156923,47,22,25,4,0.63,26.69,234,false,"0,4;1,3;2,1"
2026-05-10T00:01:03.499Z,69ff16febd4231a58af7a1f1,-1881102440,28,19,9,1,0.06,40.31,401,false,"0,17;1,1"
2026-05-10T00:01:03.499Z,69ff16febd4231a58af7a1f1,1676040914,39,23,16,2,0.17,25.99,337,false,"0,10;1,2"
2026-05-10T00:02:03.910Z,69ff16febd4231a58af7a1f1,257100653,22,20,2,1,0.0,0.02,69,false,"0,2"
2026-05-10T00:02:03.910Z,69ff16febd4231a58af7a1f1,625156923,47,22,25,4,0.63,25.55,238,false,"0,4;1,3;2,1"
2026-05-10T00:02:03.910Z,69ff16febd4231a58af7a1f1,-1881102440,28,19,9,0,0.05,41.99,387,false,"0,18;1,1"
2026-05-10T00:02:03.910Z,69ff16febd4231a58af7a1f1,1676040914,39,23,16,2,0.15,26.0,361,false,"0,11;1,2"
2026-05-10T00:03:03.710Z,69ff16febd4231a58af7a1f1,257100653,22,20,2,1,0.0,0.01,69,false,"0,2"
2026-05-10T00:03:03.710Z,69ff16febd4231a58af7a1f1,625156923,46,22,24,4,0.75,25.1,214,false,"0,3;1,4;2,1"
2026-05-10T00:03:03.710Z,69ff16febd4231a58af7a1f1,-1881102440,28,19,9,0,0.06,42.66,319,false,"0,16;1,1"
2026-05-10T00:03:03.710Z,69ff16febd4231a58af7a1f1,1676040914,34,23,11,1,0.17,26.0,358,false,"0,10;1,2"
2026-05-10T00:04:03.509Z,69ff16febd4231a58af7a1f1,257100653,22,20,2,1,0.0,0.0,56,false,"0,4"
2026-05-10T00:04:03.509Z,69ff16febd4231a58af7a1f1,625156923,46,22,24,3,0.78,24.92,209,false,"0,3;1,5;2,1"
2026-05-10T00:04:03.509Z,69ff16febd4231a58af7a1f1,-1881102440,28,19,9,0,0.08,42.92,317,false,"0,12;1,1"
2026-05-10T00:04:03.509Z,69ff16febd4231a58af7a1f1,1676040914,34,23,11,1,0.17,26.0,362,false,"0,10;1,2"
2026-05-10T00:05:03.727Z,69ff16febd4231a58af7a1f1,257100653,22,20,2,1,0.0,0.0,48,false,"0,5"
2026-05-10T00:05:03.727Z,69ff16febd4231a58af7a1f1,625156923,46,22,24,3,0.78,24.88,208,false,"0,3;1,5;2,1"
2026-05-10T00:05:03.727Z,69ff16febd4231a58af7a1f1,-1881102440,28,19,9,0,0.08,42.99,327,false,"0,12;1,1"
2026-05-10T00:05:03.727Z,69ff16febd4231a58af7a1f1,1676040914,34,23,11,0,0.17,26.0,367,false,"0,10;1,2"
2026-05-10T00:06:03.940Z,69ff16febd4231a58af7a1f1,257100653,22,20,2,0,0.0,0.0,102,false,"0,6"
2026-05-10T00:06:03.940Z,69ff16febd4231a58af7a1f1,625156923,46,22,24,2,1.0,24.82,180,false,"0,1;1,4;2,1"
2026-05-10T00:06:03.940Z,69ff16febd4231a58af7a1f1,-1881102440,29,19,10,0,0.09,43.07,319,false,"0,10;1,1"
2026-05-10T00:06:03.940Z,69ff16febd4231a58af7a1f1,1676040914,34,23,11,0,0.17,26.0,336,false,"0,10;1,2"
2026-05-10T00:07:03.349Z,69ff16febd4231a58af7a1f1,257100653,22,20,2,0,0.0,0.0,123,false,"0,5"
2026-05-10T00:07:03.349Z,69ff16febd4231a58af7a1f1,625156923,46,22,24,2,1.0,24.81,175,false,"0,1;1,4;2,1"
2026-05-10T00:07:03.349Z,69ff16febd4231a58af7a1f1,-1881102440,29,19,10,0,0.09,43.09,271,false,"0,10;1,1"
2026-05-10T00:07:03.349Z,69ff16febd4231a58af7a1f1,1676040914,34,23,11,0,0.17,26.0,315,false,"0,10;1,2"
2026-05-10T00:08:03.677Z,69ff16febd4231a58af7a1f1,257100653,21,20,1,0,0.0,0.0,131,false,"0,5"
2026-05-10T00:08:03.677Z,69ff16febd4231a58af7a1f1,625156923,45,22,23,2,0.83,24.8,172,false,"0,2;1,3;2,1"
2026-05-10T00:08:03.677Z,69ff16febd4231a58af7a1f1,-1881102440,29,19,10,0,0.09,43.1,253,false,"0,10;1,1"
2026-05-10T00:08:03.677Z,69ff16febd4231a58af7a1f1,1676040914,34,23,11,0,0.1,26.0,278,false,"0,9;1,1"
2026-05-10T00:09:03.924Z,69ff16febd4231a58af7a1f1,257100653,21,20,1,0,0.0,0.0,161,false,"0,5"
2026-05-10T00:09:03.924Z,69ff16febd4231a58af7a1f1,625156923,45,22,23,1,0.83,24.8,121,false,"0,2;1,3;2,1"
2026-05-10T00:09:03.924Z,69ff16febd4231a58af7a1f1,-1881102440,29,19,10,0,0.0,27.24,223,false,"0,7"
2026-05-10T00:09:03.924Z,69ff16febd4231a58af7a1f1,1676040914,34,23,11,0,0.1,26.0,160,false,"0,9;1,1"
2026-05-10T00:10:03.446Z,69ff16febd4231a58af7a1f1,257100653,21,20,1,0,0.0,0.0,161,false,"0,5"
