flow_id,start_edge_id,end_edge_id,start_point_lat,start_point_lon,end_point_lat,end_point_lon,via_point_1_lat,via_point_1_lon,via_point_2_lat,via_point_2_lon,flow_length
flow_0_0,est_in,nord_out,41.101668,16.887006,41.104911,16.880644,41.10002,16.883177,41.100912,16.881425,371.4
flow_0_1,est_in,ovest_out,41.101668,16.887006,41.097932,16.875993,41.10002,16.883177,41.098969,16.88006,378.4
flow_0_2,est_in,sud_out,41.101668,16.887006,41.093715,16.883444,41.10002,16.883177,41.097608,16.882193,372.3
flow_0_3,nord_in,est_out,41.104885,16.880554,41.101349,16.887157,41.10089,16.881338,41.099721,16.883305,371.6
flow_0_4,nord_in,ovest_out,41.104885,16.880554,41.097932,16.875993,41.10089,16.881338,41.098969,16.88006,372.5
flow_0_5,nord_in,sud_out,41.104885,16.880554,41.093715,16.883444,41.10089,16.881338,41.097608,16.882193,366.4
flow_0_6,ovest_in,est_out,41.097667,16.876049,41.101349,16.887157,41.098672,16.880132,41.099721,16.883305,379.4
flow_0_7,ovest_in,nord_out,41.097667,16.876049,41.104911,16.880644,41.098672,16.880132,41.100912,16.881425,373.2
flow_0_8,ovest_in,sud_out,41.097667,16.876049,41.093715,16.883444,41.098672,16.880132,41.097608,16.882193,374.1
flow_0_9,sud_in,est_out,41.093753,16.88353,41.101349,16.887157,41.097634,16.882276,41.099721,16.883305,371.9
flow_0_10,sud_in,nord_out,41.093753,16.88353,41.104911,16.880644,41.097634,16.882276,41.100912,16.881425,365.8
flow_0_11,sud_in,ovest_out,41.093753,16.88353,41.097932,16.875993,41.097634,16.882276,41.098969,16.88006,372.8
